ID,HashTags,TweetText,mentions_other,User,ritter_candidates,calai_candidates,stanford_candidates
702,"Obamacare, FACT","With  I
- Couldn't keep my doctor
- Couldn't keep my plan
- Paid Higher Premiums
- Had Higher Deductible
- Had Less Coverage
",;;;;;,MargaretClancy,paid higher premiums,[],
703,AHCA,My Sims City has better health coverage than .,sims city,lisaomalleyca,sims city,['sims city'],sims city
704,AHCA,"As a Canadian, I can assure you that universal healthcare is one of our proudest/most treasured accomplishments. This makes me sad.  ",canadian;,RatherUnwitting,,['universal healthcare'],
705,AHCA,Can anyone name one good thing about the ? Seriously.,;,musingsofmegan,,[],
706,,Support @DFL3CD  to find candidate to CRUSH @RepErikPaulsen in '18. Will NOT forget his vote for !,;,SueScottMN,,[],
707,,Socialist medicine fails when the rich run out of money. Plus your new world is being invaded by third world savages.,socialist;,Bigger_Bull,,[],
708,"AHCA, TheResistance",A Little-Noticed Target in the House Health Bill: Special Education  @RepLanceNJ7,house health bill,JSavoly,,[],
709,"tcot, ccot, Obamacare, ObamaLegacy, Failure, Libtards, GOP",House HAS VOTES Now To REPEAL OBAMACARE! [VIDEO],"house, obamacare;",Czarcraft_,house,[],
710,AHCA,.@RepAndyHarrisMD You're a big piece of shit! Thanks for you sticking by your party and not the country,;,rmurphyartist,,[],
711,AHCA,"Maybe it is time voting for the  became a preexisting condition. Untreatable and terminal at mid-term elections, 2018.",;,AltPeapup,,[],
712,,"Remember their names(1/2):
@RepLaMalfa
@repmcclintock
@reppaulcook
@RepJeffDenham
@RepDavidValadao
@devinnunes…",;;;;;;;,banditelli,,[],
713,,what,,retrocampaigns,,[],
714,AHCA,"Dems to GOP after AHCA vote: 'Hey hey hey, goodbye' That's Awesome! The  Sucks  ","dems, gop, ahca;",vela_mary,"gop,ahca",['gop'],"gop,ahca"
715,,@janekleeb @NebraskaDems We need to work with everything we've got to turn NE house seats in 2018.,"ne, house",sunkist111,,[],
716,"AHCA, voteoutGOP","Nailed it. Tear up your ""Christian"" cards, you snakes.
  ",christian;,jitterymoose,christian,[],
717,"AHCA, MAGA","You can thank old, rich, white men for the lives that will be lost/taken away because of this  ",,em_shz,rich,[],
718,"AHCA, Religiousliberty","How's that mild nausea, Comey?  ",comey,jooblee,,[],
719,,"Come time for reelection, they will hear a large collective chorus of ""Don't let the door hit you...."" ",,CIAspygirl,,[],
720,,"They'll rue this day. In fact, I doubt they'll sleep well tonight. ",;,snooze_cat,,[],
721,"obamacare, AHCA","Don't worry Libs, Bleeding Hearts will still be covered under the AHCA  ","libs, ahca",jmillst1234,bleeding hearts,[],ahca
722,"GOP, AHCA, GodFuckingDamnit, America, Backtracked",We're all as good as dead because the foxes are running the henhouse.     isn't America now.,; america,giveawaytrigy,america,['america'],america
723,AHCA,"This is removing federal troops from a Reconstruction South.

This is trickle-down economics.

This is called a win.

",reconstruction south;;;;;;,HDickmeyer,,[],
724,,"You forgot one... Voted to make rape a pre-existing condition so women will fear to report and lose insurance. Be bold, you did this.  ",;;,UrbanMilkmaid,,[],
725,,"Yes, celebrate ridding millions of americans of a healthy future where they won't have to choose between life-saving medication and food. ",,DerMonarch,,['food'],
726,"Trumpcare, voters, KILLTHEPOOR",Watch this quick vid as  make easy prey out of their own !  Oh yes and be sure to  the next time too!,;,Jennifer_Rising,,[],
727,AHCA,@thatbilloakley As someone with a pre-existing condition....Everyone who voted for the  can go fuck themselves.,,iamTannenbaum,,[],
728,,Evil.,,AdriaSkywalker,,[],
729,AHCA,"Anyway! Teaching two spin classes tonight to help stay healthy/ahead of the opposition. I still need to take insulin, but ¯\_(ツ)_/¯

",;;insulin,TeriKern,,[],
730,AHCA,Call YOUR REPS WHO VOTED YES. Direct action at constituent office near you. SHOW your senators that a vote for  is political suicide.,;;,JazelleAH,constituent,[],
731,,"I can afford the chemotherapy that I take along with the other drugs that I need daily. Without these drugs, I die. No drugs, smoking, 🥂 NO ",;;,supermodelsonya,,"['chemotherapy', 'chemotherapy']",
732,MAGA,Nothing puts a smile on my face faster than seeing a LibNAZI cry.,libnazi,KriensL,,[],
733,,Your daily reading.,,jchasbeck,,[],
734,"Trumpcare, Obamacare",GOP &amp; DNC are the pingpong paddles. Citizens are the ball.,"gop, dnc;",nnnTheCode,,['gop'],"gop,dnc"
735,AHCA,Maybe @SpeakerRyan should go to work at a Job and Family Services for a week. Or a hospital. Or a free clinic. Or a detox center.,family services;;;,E_Fish,family services,[],family services
736,"IAmAPreexistingCondition, AHCA",Female. Disabled from being the meat in 3-car sandwich. Anxiety. Depression. Asthma. Rosacea. IBS. NCAH.,;;;;asthma;risacea;ibs;ncah,Claire_Sentient,,[],
737,"AHCA, Shame","The men responsible for saying domestic abuse, abortions, and being pregnant is a pre- existing condition.  ",,hishi_pradhan,,[],
738,AHCA,the  is a complete joke.,,dakotancarroll,,[],
739,,@GOP F**k all of you. House Republicans finally pass an Obamacare repeal and replacement  via @HuffPostPol,";house republicans, obamacare",Luminae,house republicans,['gop'],
740,AHCA,"GOP celebrating like they won the game. While in actuality, they have a one point lead at halftime.   ",gop;,mwthewiz,,['gop'],gop
741,AHCA,"How do those in power get their sick jollies off? 
Today was a good example. 
",;,dasandman500,,[],
742,"Obamacare, TrumpCare",Same people against  R the main ones that need it🤔cuz  is 4 the rich &amp; uninjured &amp; U ain't Rich 😂,,End_Prejudice,rich,[],
743,AHCA,Hey @theobserver do you have a list of the NC and SC house representatives' vote on ?,"nc, sc, house representatives",karlacrz,"nc,sc",['nc'],sc
744,"StarWarsDay, DarkSide, TheForce, Congress, AHCA",Since its . it certainly feels like the  of  aka  came after older Americans w/ the  bill.,;americans,t_jh2009,,[],
745,AHCA,"We lost our voice, our rights, control of our bodies, &amp; now our healthcare. Trump has destroyed our country with a smile on his face. ",; trump,AngelaDawn623,trump,[],trump
746,AHCA,Is their a way to see a non-partisan comparison between  Obamacare and  without the atomic OMAGAW DIS A OUTRAGE RABBLE RABBLE RABBLE,obamacare,DavidSchulte1,,[],
747,AHCA,"Are you drinking up, @RobWittman? Celebrate now, we are watching and we are angry.  ",;,AltPeapup,,[],
748,,"@realDonaldTrump You're all going to be unpleasantly surprised over the next few years, you worthless, amoral sociopaths    ",,BostinPat,,[],
749,ahca,".@HouseGOP who voted Yes for today's healthcare revisions, prepare to be revised out of your seat in 2018.  You are despicable.",;;,husky_rascal,,['healthcare revisions'],
750,AHCA,"Stop calling this . It is now Trumpcare, a disgusting bill that protects the rich and let the poor to die without proper coverage",;trumpcare,scarlletbitch,,[],
751,,When you're so mad you could just literally cry,,AlexandriaRae_,,[],
752,"Obamacare, Trumpcare, FuckTrump, AHCA, StopTrump, Resist"," wasn't broke, it didn't need to be fixed❗   is NO CARE‼️ 🤥  🛑 👊",;;,SimplySue777,,[],
753,,At this point..we tried to save those in red states.. they refused.. so they will deal with the consequences. Can't wait for the CBO score.,;;;cbo,TrumpanzeeSaid,,[],cbo
754,"AHCA, VoteNoAHCA","Dear @tedcruz, if  is so great, Why is the @AmerMedicalAssn against it? Do you think you will survive a yes vote? ",;,Jamie_Zapata_,,[],
755,"ahca, gopkillspeople, thegop","We will ALL HAVE TO ANSWER TO GOD, EVEN YOU @realDonaldTrump 
&amp; you won't have $$ to protect you then!
   is evil",;;,blissful1985,,[],
756,AHCA,"Again, USA:

If your Rep voted for , call them on it.
If your Rep voted against it, thank them.

And tell the Senate to . ",usa;;;;senate,michael_w_busch,usa,"['senate', 'usa']",senate
757,"TrumpDontCare, AHCA, resist",Vote these inhumane people out of office,,WoolPearls,,[],
758,"AHCA, shame, trumpcare",This is insane. It's a law condemning women and poor people.,;,clrthrn,,['law condemning women'],
759,"TrumpCare, AHCA",".@RepMcSally,

Screw you!

You sentenced innocent folks to death! You are the death panel!

You will hear us!

 ",;;;;;;;;;;,SujOfficial,,[],
760,"TheResistance, Obamacare","WE The People are watching! The GOP &amp; 2 DEMS who voted against our healthcare, MUST GO!  …",";gop,dems",therealezway,,['gop'],gop
761,,California's House Republicans are crucial to the healthcare vote. More than half are undecided,"california, house republicans, healthcare;",jane_long,"california,house republicans","['healthcare vote', 'california']",house
762,,@JoeNBC So...begin to work with the Senate on Obamacare repeal or throw a party to celebrate the House vote?  Answer is obvious.,"senate, obamacare, house;",TheKrothRoads,senate,"['senate on obamacare', 'house vote']","senate,house"
763,Obamacare,"tfw you're rich and your party will condemn thousands of people to die prematurely to make you richer
 ",,KennedyConnolly,,[],
764,"FakePOTUS, Obamacare","At Rose Garden after a win he boasts, ""I'm not a politician, how my doin' not too bad hah, I'm President, right!""  ",rose garden,es4ideas,"rose garden,i'm president","['president', 'a politician']",rose garden
765,"GOP, TrumpRussia","In other words the: has approved &amp; is promoting Authoritarian Kleptocracy.. Independent  investigation NOW.

 ",authoritarian kleptocracy;;,AgentScully2017,independent,[],
766,,"Somehow I bet erectile dysfunction isn't considered a pre-existing condition. Love to pay for their boners, lucky us. Mmmerica. ",;;,elizmayerle,,['erectile dysfunction'],
767,"AHCA, Obamacare","How Obamacare Fails People With Pre-existing Conditions 
  Affordable Care Act
",obamacare; affordable care act;,IsabelaRM1,,[],
768,ObamaCare,repeal HR are rushing to a vote contains an exemption for members of Congress &amp; staff from losing benefits that bill eliminates.,"hr, congress",LaraLMek,congress,['congress'],congress
769,AHCA,"Retweeted Jim Clyburn SC-06 (@ClyburnSC06):

The  will have such an egregious and inhumane impact on...",jim clyburn;,Senecaangel,jim clyburn,[],retweeted jim clyburn
770,,". @PAAttorneyGen will you join him, please? With love- a resident of Pa. ",; pa,JanetteKirchner,pa,['pa.'],pa.
771,,Look at the shit-eating grin on this disgusting worm who voted today to destroy the lives of hundreds of thousands of his constituents.,,up_in_the_Jer,,[],
772,AHCA,"I never really loved the expression, but @CharlesPPierce just went all types of masshole on the  and he might just have a point ",,Pat_Beaudry,,[],
773,"Obamacare, AHCA",20 Republican House Members Voted Against the Healthcare Bill,"republican, healthcare bill",ProjRepubic,,[],"republican house,healthcare bill"
774,,Shame!,,Treecy_WildTale,,[],
775,"AHCA, shameonyou, preexistingconditions",how much of this has to do with the American people and their lives vs. Getting revenge on Obama,"american, obama",mummadi123,obama,[],obama
776,,"Of course. This was always going to happen. Will go to conference, and the Senate will make the House vote up or down on theirs. ",";;senate, house",kwcollins,senate,"['senate', 'house vote']","senate,house"
777,AHCA,I'M TRYING TO REMAIN CALM BUT HOW CAN I REMAIN CALM WHEN SOME OF MY PREEEXISTING CONDITIONS AREN'T COVERED?,,delreyxhemmings,,[],
778,,These 24 House Republicans voted for Trumpcare in seats where Trump got less tha..,"house republicans, trumpcare, trump",365TopNews,trump,[],"house,trump"
779,,House Republicans pass bill to replace and repeal Obamacare - CNN: CNN House Republicans pass bill to replace…,"house republicans, cnn",DoyleGlobal,"house republicans,and repeal obamacare,cnn house republicans","['cnn', 'cnn']","house,cnn house"
780,,"Only (R) rep in Arizona to vote no. For the wrong reasons, but I'll take it ",arizona;,AmberKinion,arizona,['arizona'],arizona
781,"AHCA, WA5","@cathymcmorris thanks MoRo, yor a peach.  . You need to be repealed and replaced. 
 @votebenstuckart ",;;,JenD1974,,[],
782,"AHCA, midterms2018",The  will not serve those Americans with pre-existing conditions. Don't B fooled.,americans;,turtledoveictus,,[],
783,"Obamacare, AHCA","Does this mean that I can no longer thumb my nose at  and ignore the mandate? Darn, I love shafting government. ",;,historiarex,,[],
784,obamacare,Do u agree w/ what The House did 2  today? Answer here:  @FrankieDarcell @LesterHoltNBC @NBCNightlyNews,house;,wdasfm,,[],house
785,"TrumpCare, AHCA, plutocrats, GlobalNonLeadership","It all trickles down here, Richie!
    ",richie,quixotequest,richie,[],
786,,When they go low...,,urbnlibertarian,,[],
787,AHCA,My statement on how today's House vote on the  and will hurt America's kids.,"house, america",jimsteyer,"house,america","['america', ""today's house vote""]",house
788,"saveaca, ahca",donate here to support @mikelevinca fight for the 307k californians rep. issa betrayed today.,,iamtimothydavis,,[],
789,,"Wow. The house actually did it. JFC. 

Here’s to hoping this dies in the senate and this vote costs Republicans both chambers.",; house; jfc;republicans,ojapa,,['senate'],
790,,"If you're like me, a fortunate Canadian with access to healthcare, please consider channeling your anger and donating to @PPact ",canadian,rachellmblair,,[],
791,"AHCA, Tcot, trumptrain, MAGA","Nothing SWEETER than Liberal tears! Today we are DROWNING in them. THANK YOU Republicans for passing the  !! 
  ",liberal;;republicans,CSteven,,[],
792,,House Republicans were asked to walk the plank on Trumpcare and they did. Hello 2018,"house republicans, trumpcare;",Resistanceraven,trumpcare,[],house
793,,I can't wait to see @MSNBC's coverage of these upcoming town halls. These GOPers are about to get slammed for this  vote!,;;,MarineOneJacob,,[],
794,"AHCA, Trumpcare, Obamacare",SHAME on evry single republican who voted for this disaster   - just to repeal  U guys are the worst. pathetic ppl.,;,lynxmc1,,[],
795,AHCA,The GOP house Republicans passed the  against the will of the American people who when last polled said about 17% supported this bill.,"gop, house republicans, american",EvilGary101,,['gop'],gop
796,America,So take away from the poor to give a tax cut to the rich? You got to be 💩 me.  you want this? fight bsck✊🏼,;;;,GabbyQuinteros,,[],
797,AHCA,"A sexual assault offender can become President, but a sexual assault victim cannot get healthcare.   ",president,LouLachat,president,['president'],
798,,"The House passed this Horrible Health Bill, . Republicans have committed Political Suicide.","house, health bill; republicans",OFFTOMARS11531,,[],house
799,,My father in law got cancer treatment due to Obamacare,obamacare,heardatwork123,,"['cancer', 'cancer treatment']",obamacare
800,SaveTheACA,"Dear House Republicans, Have a nice tax-payer funded 11 day break. We know where you live",house republicans;,eqracer,,[],
801,AHCA,"Current Mood: The Heart Is A Lonely Hunter.
 ",,Breznican,,['a lonely hunter'],
802,"GOP, AHCA",Definitely waste no time in calling your Senators.  needs to hear passing  will definitely have political repercussions,senators;,IndivisibleLuma,,[],
803,AHCA,I honestly feel sick over this. Does that mean I have another pre-existing contusion to add to my list?,;,RowlandJordyn,,[],
804,,@SenateMajLdr @SpeakerRyan @HouseGOP @SenateGOP @POTUS Fuck you all. God won't let you get away with hurting so many people over healthcare,;,melinda_lu18,god,[],
805,AHCA,"Anyone trademarked Trump Coffins yet?

",trump,HITEXECUTIVE,trump,[],trump coffins
806,"FireKenBuck, FireScottTipton, FireDougLamborn",. They just voted to let Coloradans die.,coloradans,Lula6288,,[],
807,,"This celebratory atmosphere over stripping health care from the sick is one of the most obscene political spectacles I've witnessed. 
",,HANAtruly,,[],
808,,@HouseGOP What happens when u sentence a constituent to death and then approve gun purchases for nut jobs? Wait for it. Wait.,;;,Gr82BUs,,[],
809,"BREAKING, trumprussia, russiagate, resist, obamacare","""@funder: : House Passes Bill That Will Never Become Law

   ""

LET US HOPE THIS IS TRUE",house;,kayemclaren2,,['us'],"house,us"
810,,Way to get 'em is through the courts,,GWfashionista,,[],
811,,"Cali,  7 dem seats as good as ours in 2018. Donate, call, knock on doors. START TODAY. Issa et al effectively signed their resignations.",;;;,kidsistah,,"['issa', 'cali']",
812,,The sad part is ...these voters will pay dearly,,Hollyberry872,,[],
813,,House Republicans just voted for a healthcare bill that the CBO didn't even have time to score yet.,"house republicans, cbo",KimAcheson,"house republicans,cbo",['healthcare bill'],"house,cbo"
814,,“Millions of Americans are about to lose health care coverage @GOP are drinking beer”: Dems slam @HouseGOP,"americans, dems",TheRReport,"americans,dems",['gop'],
815,,"WATCH: Democrats Taunt House Republicans After Trumpcare Vote, Sing 'Na Na Na Na, Hey, Goodbye'

Decorum Abounds ","democrats, house republicans, trumpcare;;",shanandcrew,"democrats,na na na na",[],
816,TrumpCare," is not only cruel and callous.

It's also unconstitutional.

And @AGSchneiderman is on it. ",;;;;,djlavoie,,[],
817,AHCA,"Properly articulating my feelings about  is hard, but I do have two things to say: 
1. Fuck you @HouseGOP
2. Super fuck you @PRyan",;;;;,MrsJoeBiden,,[],
818,,".@realDonaldTrump First, House Republicans are trying to effectively deny access to reproductive health services—a… ",house republicans,AGSchneiderman,house republicans,['health services'],house
819,,House Republicans pass healthcare bill in first step toward replacing Obamacare,"house republicans, obamacare",BioethicsRR,house republicans,['pass healthcare bill'],"house,obamacare"
820,,"@KamalaHarris I have no doubt you oppose this, but I urge you to make the impact clear and I will stand beside you in this fight. ",,YogicAmnesiac,,[],
821,AHCA,If you voted for trump thinking you were different from the rest. That he would look out for you. Today proves you are wrong.,trump;;,beautifullynerd,,[],
822,,Doom in their career in politics &amp; beyond.,,LaMinang,,[],
823,"AHCA, Trumpcare",This whole  thing makes my head hurt &amp; pressure go up. One way or another @HouseGOP wants me to die. Heartless bastards.,;;,nikkiyo,,[],
824,,What a disgrace.,,hipsterhobos,,[],
825,,"I don't know why we would expect her to. This notion that Ivanka is a ""Voice of reason"" is a Centrist delusion. ","; ivanka, centrist",RealChrisCutts,"ivanka,voice of reason",[],ivanka
826,AHCA,. How much did the taxpayers pay for their celebration?  What asses!!!,;;,hossp63,,[],
827,"AZ, GOP, ACA",Andy Biggs was sole  Congressional  House member to vote against  repeal,"andy biggs, congressional house ",SusanHowardSXSW,andy biggs,"['andy biggs', 'congressional  house']","andy biggs,congressional house"
828,"Obamacare, TrumpCare",Same people against  R the main ones that need it🤔cuz  is 4 the rich &amp; uninjured &amp; U aint Rich😂,,End_Prejudice,,[],
829,AHCA,Today is an absolutely sad day for America. I'm at a loss of words because I'll definitely lose my health insurance now.,america;,RyanJKaz,america,"['america', 'health insurance']",
830,AHCA,"""Oh wow, thanks for visiting-"" ""Actually, Lord Vader says you can't stay here."" *pulls out of bed*   ",lord vader;,JuniperNichols,lord vader,[],
831,AHCA,Ever read Better off Dead? Read it. You'll see PTSD in the (albeit Canadian) military. Rape is NOT a pre-existing condition  1/2,";;ptsd, canadian;",jo_strong_,,['ptsd'],
832,"TheResistance, Deathcare, AHCA","Let's get  trending as the right name for  since that's what it really is!

PLS RETWEET

@mikefarb1
@HouseGOP",;;;;;;;,JustLibertyRi,,[],
833,,I just published “The House Republicans’ Shameful Suicide Pact”,house republicans,ormacheatuco,house republicans’ shameful suicide,[],
834,AHCA,. The Grand Ole Putin Party has delivered for their Murderous Boss. Americans will surely Die! Congrats Vladimir. Your plan is working.,"grand ole putin party, putin; americans; vladimir;",YvetteJiselle,"grand ole putin party,murderous boss",['grand ole putin party'],grand ole putin party
835,,Shit they will never experience.. amazing,;,AlexandriaRae_,,[],
836,,GONE GIRLS AND BOYS!!,,hannahblue3,,[],
837,"AHCA, ResistTrump, VoteThemOut",My pinned tweet IS NOT A JOKE!!!   We must  plz read n spread my pinned 🙌🏽🙌🏽🙌🏽 @mmpadellan @funder @CNN,;,JamesRusso2d3d,,[],
838,"aca, ahca, obamacare, whitesupremacy, institutionalracism","""white folk hate me like obamacare."" - @JosephChilliams Words still hold true     ",obamacare;,KidCano,,[],
839,AHCA," passing while Congress keeps their Obamacare but u see ppl getting happy to ""watch the left cry"" are dumb as shit. Y'all left out to!","congress, obamacare;",Dawneei,congress,['congress'],congress
840,,Thanks men who don't have to deal with any of these. Unacceptable.,;,kec725,,[],
841,AHCA,"This is it people, time we 4get Trump &amp; focus all our energy on""The GOP"". Hold them to account on everything including what Trump does","trump, gop;trump",ChelseaFunGirl,"trump,trump","['energy', 'gop']",trump
842,,Let's hope so....,,Nycd16Indivis,,[],
843,AHCA,Special ed services for disabled kids would be cut under the .  Not much discussed;  really important.  @CitizenCohn,;;,judith_graham,special ed,['special ed services'],
844,,"How about that coward @jasoninthehouse Jason Chaffetz, the House Oversight Chair who skipped town for Flynn, but slithered back for ","jason chaffetz,  house oversight chair, flynn",JeffCerulli,"jason chaffetz,flynn","['jason chaffetz', 'the house oversight chair']",house
845,"ahca, trumpcare",The latest The Mich Stepping Stones Daily!  Thanks to @bett1230 @Bad_Woof @HillarySi2016,the mich stepping stones daily;,michstepstone,,['the mich stepping stones daily'],
846,AHCA,two of my immediate family members will die if the  passes the Senate,senate,maraleia,,['senate'],senate
847,AHCA,America needs help. Someone please help us.,america;,wheresmyoj,america,['america'],america
848,,Thread 👇🏽,,thenewred1,,[],
849,AHCA,"GOP,
Your actions belie your words and show that truly you are evil cowards only concerned with yourselves. You voted to KILL CHILDREN
",gop;;,AWorldOutOfMind,,['gop'],
850,,Watch as Democrats break out in song as the AHCA passes the House,"democrats, ahca, house",CherryCoffeeLou,,[],ahca
851,,republicans are literally evil lol,republicans,wildestdreamed,,[],
852,AHCA,Every Republican who voted for  routinely congratulates themselves for the moral superiority conferred by their smug Christianity.,"republican, christianity",bpwerks,,[],
853,,"This is messed up. Shame on them ""House Republicans narrowly pass controversial bill to overhaul health-care system"" ",;;,Raysa_Leer,house republicans,[],
854,AHCA,. @GOP concerned about looking us in the face over . Should worry about that as they turn us into Europe w the refugee program.,;europe,deplorable_k,europe,['gop'],europe
855,Obamacare,ObamaCare repeal bill could affect employer health plans: report  ♥♥♥,obamacare,MOnyryx,,[],
856,AHCA,"If you ever seriously said ""but her emails,"" whatever mental disorder you have is a pre-existing condition not covered under the .",,TheSciBabe,,['whatever mental disorder'],
857,,Suggest not partying yet ... @POTUS @mitchmcconnell_,,Iris2856,,[],
858,"Trumpcare, Obamacare"," -- preview of its clever ""high risk pools"" (See  for less expensive, better coverage) ",,langdonw,,[],
859,AHCA,".@FoxNews @POTUS @GOP @CNN @MSNBC I'm still doubtful, but hopeful at the same time. Not like we have a choice. We shall see. ",;;,mtnpoet,,['gop'],
860,AHCA,"Is this what Trump meant by ""grab them by the pussy?"" ",trump,mixtapemandi,trump,[],trump
861,AHCA,Would u wanna b a GOPer who voted against  n has 2 face the wrath of the base or 1 who voted 4 it n has 2 face the wrath of evry1 else?,,RavenLaR,,[],
862,,I hate him and them and the bill,,jamayypups,,[],
863,AHCA,I will literally die lol.,,NUCLEARnicole,,[],
864,"AHCA, TrumpCare, GOP",Sounds about right. Fake Christians just voted to kill their voters for a tax cut.,;christians,LejanATX,christians,[],
865,AHCA,"But to Congressmen, this will never matter. Why? Congress and their staff are exempt. They still get the care we all deserve.  13",congressmen;;congress;;,Aurinth,congressmen,['congress'],congress
866,AHCA,"More appropriate would be ""left a trail of slime as he returned for .""  Snakes have much more class than slugs. Anyone have salt? ",;snakes;,MagyarBear,,[],
867,,"We shouldn't call it Trumpcare, since @realDonaldTrump doesn't. ",trumpcare,McBlondeLand,,[],
868,AHCA,"@senrobportman @amyklobuchar Will u oppose ,which would eliminate any progress made in the fight against the ?Will u fight for Ohioans?",;ohioans,Archmom1,,[],
869,BREAKING,": House Republicans have narrowly passed a bill to repeal and replace Obamacare, in a major victory for @realDonaldTrump","house republicans, obamacare",carolinemarcus,,[],house
870,AHCA,"On the bright side, if we lose our coverage, we'll save $$$$ on premiums that we can put towards our big funeral costs. ",,cwethern,on the bright,[],
871,,"""Quality &amp; affordable healthcare with key patient protections is necessary for the health &amp; safety of &gt;32 million Americans w/ lung disease""",americans,ambiencedata,key,"['healthcare', 'americans w/ lung disease']",
872,AHCA,I have yet to see @SenJohnMcCain Sen @JeffFlake demonstrate they care about their constituents over party but I pray they will vote no,,jcfulls,,[],
873,,House Republicans pass bill to repeal Obamacare  via @FT,"house republicans, obamacare",TradingJeremy,house republicans,[],"house,obamacare"
874,AHCA,"Again, USA: Trump wants  so that he can kill 29,000 Americans a year and give himself $75 for every death.","usa, trump, americans",michael_w_busch,"usa,trump",['usa'],trump
875,AHCA,this is what 45 supporters voted for....sad ...they shot themselves in the ass and now can't afford medical care for the wound...,,dmaluk1,,[],
876,AHCA,"-If R/conserv: Loyal GOP; DT may have lost u, but stand by this Rep—BUT  travesty loses it (turning you single-issue)","gop, rep, dt",antonejohnson,dt,['gop'],
877,"FoxNews, ThisWeek, PBSNews, CNN, Trump, ObamaCare","@FoxNews @POTUS       We are the Champions, We are the Champions, We are the Champion   ",,hughvonN,"the champions,the champions",[],
878,,Front-lines leadership.,,mmwuest,,[],
879,RESIST,REPUBS WILL PAY THE PRICEHouse Republicans finally pass an Obamacare repeal and replacement  via @HuffPostPol,"house republicans, obamacare",rath_22,pricehouse republicans,[],
880,AHCA,@RepJohnKatko Thank you for voting no on the .,,danimar07,,[],
881,"AHCA, ObamaCare, TrumpCare",Romania🇷🇴 Russia🇷🇺 Serbia🇷🇸 Sweden🇸🇪 Switzerland🇨🇭 UK🇬🇧Bahamas🇧🇸 Canada🇨🇦 CostaRica🇨🇷 have Universal Health Care,"romania, russia, serbia, sweden, switzerland, uk, bahamas, canada, costarica, universal health care",YourAnonCentral,universal health,[],universal health care
882,LicenseToDiscriminate,But it is ok because we have a  now! Good day for all those 'Christians' can't wait until you face our maker!,;christians,JesseAosta,,[],
883,"shameonyou, obamacare, ACHA, killthebill",Malignant Republican reps who voted for this Trump-Doesn't-Care bill just committed a hate crime.,"republican, trump",KimberlyGadette,,[],
884,AHCA,"Watching the flow of news on the , feeling like I'm watching a play I've seen before but with different actors cast as the same roles.",,ChrisSafran,,[],
885,"BlackTwitter, BlackLove, NoScrubs, ObamaCare",STOP PLAYING: Are you slipping on a good man? Rethink UR priorities,;,BlackPressRadio,,[],
886,,Not the best example. SSRI's only cost about $10 a month without insurance - and therapy sessions cost money w/ or w/o health insurance,;,SeitoStockman,,['w/o health insurance'],
887,,The GOP health bill will take away rehabilitative care. @RepJimRenacci it's time We're supporting your opponent.,gop;,mrshellwinger,,['gop'],gop
888,Obamacare,Is your America great now?,america,FrozenShadow_,america,['america'],america
889,AHCA,Republicans make it easy for me to have no respect for them,republicans,whatsalegacy,,[],
890,,Exactly!,,eileengo1,,[],
891,AHCA,"Lou's right. Once again, the wealthy and powerful take from working families.  is bad for Ohio and our country… ",lou;;ohio,Ted_Strickland,"lou,ohio",['ohio'],ohio
892,AHCA,@PatrickMcHenry you didn't listen to your constituents and you voted yes to  now it's time for us to vote you out of office.,,shinevan1120,,[],
893,AHCA,Healthcare in US under,us,LukeMaciak,,['us'],us
894,"ObamacareHelpedMe, Obamacare, AHCA"," get this fresh batch of sweet sweet liberal hysteria! 

  ",,muhfeefees,,[],
895,,Staggering,,knockonMCWOODS,,[],
896,GOPHealthCare,Anyone who is pro abortion does NOT get to complain about,abortion,DrSueDVM,,[],
897,,"This is how they treat their Mothers, sisters and daughters. I hope whoever voted for them realizes that, they don't give a damn about you. ",;,Thrasher_Jon,sisters,[],
898,AHCA,"Got to ask all fifty GOP senators this question with the utmost respect

How would you like history to remember you?

",gop;;;;;,geekcreds,,['gop'],gop
899,,So every cloud has a silver lining... I suppose.,;,JGDphoenixrises,cloud,[],
900,"MayThe4thBeWithYou, AHCA, RepealAndReplace, Resist, TheResistence, ShowSupport","@BillKristol 
This (!)",;;,DeepStateAI,,[],
901,AHCA,Get in touch with your reps,reps,wheresmyoj,,[],
902,Obamacare,fucking squall baby libtards are saying pre-existing conditions over and over on twitter shitter today hahaha bullshit idiots,twitter,yvettelecroix,twitter,[],
903,"AHCA, Trumpcare",@CNN Get a job and get coverage. Simple. Don't wait around for the American taxpayer to pick up YOUR tab.,;;american,AlWilson725,,[],
904,AHCA,I keep going from laughing to crying about all these dependent ppl who want gov to control their lives so sad,,rlgordon18_ruth,,[],
905,"blessed, AHCA, preexistingconditions",to be a white man right about now (or every day),,mrs_waddell,,[],
906,"Obamacare, ACHA",BREAKING: The GOP voted (217:213) to repeal the ACA. Meet the pre-existing conditions!,"gop, aca;",LPJLeague,gop,['gop'],gop
907,"Obamacare, savemycare, resist",217 reps should lose health care coverage ASAP! the constituents that were previously yours WILL remember,reps;,omarvsavon,,[],
908,,The GOP really needs to take back the Senate in 2018. They can't get anything passed without a majority there.,"gop, senate;",ThePantau,senate,"['senate', 'gop']","gop,senate"
909,"MayThe4thBeWithYou, AHCA, RepealAndReplace, Resist, TheResistence, ShowSupport","@PeteOlson 
This (!)",;;,DeepStateAI,,[],
