ID,HashTags,TweetText,mentions_other,output_mentions
585,Obamacare,Let's go Michelle. We are off the hook before it imploded. Suckers,michelle;;,"[[], [], []]"
586,,FUCK THEM,,[[]]
587,AHCA,"The Republicans heard the cries of millions who wanted healthcare, they did the opposite and did what insurance giants wanted. ",republicans,[[]]
588,,"Honestly what IS our government anymore, on both sides?! ",,[[]]
589,GOP,Live shot of  Congress celebrating a vote to strip millions of healthcare and literally sentence people to death.,congress,[['congress']]
590,AHCA,killed Jason Blossom,jason blossom,[[]]
591,"Suckers, AHCA","You half wits that voted in this mess - didn't think he'd take away YOUR healthcare, did ya?  ",,[[]]
592,AHCA,Hey @Heineken can you stage an ad with some GOP congressmen and their sick constituents who might die now? Will that help?,gop;,"[['gop'], []]"
593,AHCA,Please support @MikeLevinCA runs for Congress against @DarrellIssa what voted YES on,congress,[['congress']]
594,,"@realDonaldTrump 
U did a good thing today U made sure all the house republicans will get to go home.
They will lose their seat and be hated",;;,"[[], ['the house republicans'], []]"
595,"F4F, RT, news, Did",Republicans just wave bye-bye to their House majority? - Washington Post,"republicans, house; washington post","[['washington post'], ['house']]"
596,Obamacare,Cool!!!! Affordable Care Act  Drove Down Personal Bankruptcy - @ConsumerReports,;affordable care act,"[[], []]"
597,AHCA,The KKK (out of uniform) deciding what's best for America.,"kkk, america",[['america']]
598,"democrats, Republican, Puritans, AHCA",For all d people who didn't vote cause  weren't for single payer i hope you are happy with the  version,,[[]]
599,AHCA,Just when you think things cant get worse? These fucks never disapoint.,;,"[[], []]"
600,AHCA,"1.) Domestic violence is a pre condition according to the , along with the huge almost 1 Trillion Medicaid cut, wife beaters paradise",;medicaid,"[[], []]"
601,,"Maybe I missed it, but I didn't see a single comment here saying you did the right thing. Party over country @RepKinzinger. We all see it. ",;;,"[[], [], []]"
602,,OBAMA HAS FAILED THE AMERICAN PEOPLE! His loyalty was to his Muslims in the hood. He fooled black+white America. What did he do for you?,"obama, american people; muslims; america;","[['obama', 'american'], ['muslims'], ['america'], []]"
603,,Disappointed with CA republicans for towing the line and following blindly. Thought you were better than that.,ca;,"[[], ['ca']]"
604,,Exactly! Putting their seats in jeopardy for nothing! Way to go House Republicans!,;;house republicans,"[[], [], ['house republicans']]"
605,,"Local Rotund Toddler Dismantles Constituents' Health Care, Demands Treats ",,[[]]
606,,This is a Must. Every republican who voted Yes today has got to go.,;republican,"[[], []]"
607,AHCA,"@IvankaTrump Thank you, Ivanka!  is splendid. ",ivanka;,"[[], []]"
608,"DEMS, AHCA, WeThePeople, BS, PJNET",".@GOP is JUST like , shoving   down our throats that NO ONE has read!  s/ have month to rvw B4 vote! More !",;;,"[[], [], []]"
609,"Trump, AHCA","Yet another  lie or as Ann Courter puts it... he just ""bull sh*ts"".  bad for women who are charged more for insurance than men ",ann courter;;,"[[], []]"
610,AHCA,1. A battered woman pays extra for health care while the guy who beat the shit out of her doesn't.,;,"[[], []]"
611,,you hear that? Fuck all of them.,;,"[[], []]"
612,AHCA,Take note. This is just one consequence of the .,;,"[[], []]"
613,AHCA,"@rlgordon18_ruth   Yea Ruth, but the sky is falling! Most of these folks don't even rely on O'care for their insurance. They're just loving crying again",ruth;o'care';,"[[], [], []]"
614,,Senate Republicans Already Say the House Health Care Law ‘Falls Short’," senate republicans, house, health care law","[['senate', 'house']]"
615,AHCA,"Ignorance is the most curable, but most dangerous, disease. ",,[[]]
616,,Welp.,,[[]]
617,,"""We've been at this Dave Matthews concert for 75 years""",dave matthews,[[]]
618,,Democrats broke into this chant after House Republicans voted to repeal Obamacare,"democrats, house republicans, republicans, obamacare","[['democrats', 'house republicans', 'obamacare']]"
619,OBAMACARE,"Trump has made it clear and House Republicans have too.
They don't care too much about you.
, TRUMP DON'T
  ","trump, house republicans;;trump","[['trump', 'house republicans'], [], ['trump']]"
620,"ahca, 50StateStrategy, 2018Race, Drumpf, FlipTheCongress","Hey @DNC, 217 seats just became vulnerable in the House.",house,[['house']]
621,"Obamacare, AHCA","House Republicans did their job and the left can't take it. Sorry losing isn't fun, not that I know what that feels like. 🤣
",house republicans;,"[['house republicans'], []]"
622,AHCA,Here's how every single person in the House voted on,house,[['house']]
623,AHCA,"Republican  ""would erase the coverage gains of [ACA] &amp; leave 24 million more people uninsured"" @CNNMoney","republican,aca",[['aca']]
624,AHCA,"@RepRooney @TomRooney 
Floridians will not forget your YES vote today on . Today you put Party before constituents &amp; we do not forget.",;floridans;,"[[], [], []]"
625,,Call your Senators AND the Representatives that voted for this bill.,"senators, representatives",[[]]
626,AHCA,"Hey @SenatorMenendez and @CoryBooker, just wanted to confirm you'll both be voting ""NO"" when the  hits the Senate, right?",senate,[['senate']]
627,"preexistingconditions, AHCA","RT if you:

-Have a mental illness 
-Care about someone with a mental illness 

 
",;;;;;;;,"[[], [], []]"
628,AHCA,Is soulless asshat a pre-existing condition?,,[[]]
629,"AHCA, disgusting","But honestly, how can you call yourself 'a civilized country' if health is not a right but a privilege?  ",,[[]]
630,,"You're a special kind of ""stupid"" aren't you. ",,[[]]
631,"AHCA, Trumpcare","The asshole brigade. 
  ",,[[]]
632,,We must speak louder at the polls. Those who voted for this MUST be held accountable. Party affiliations can't come before human lives.,;;,"[[], [], []]"
633,AHCA,Voice your concern to reps - now. Proposed  bill will do serious harm to...  by  via @c0nvey,;;,"[[], []]"
634,"obamacare, aca, ACARepeal, Portland, healthcare, healthinsurance","Healthcare bill passed, what does it mean?       ",healthcare,[[]]
635,"AHCA, ThankyouTrump",for relief from the  failed Obamacare.,obamacare,[['obamacare']]
636,,Remember their names.,,[[]]
637,AHCA,".@repdonbeyer TY for the ""no"" vote on  The bill puts Medicaid 4 kids at risk! All children need health coverage",medicaid;,"[[], []]"
638,,why are republicans celebrating the repeal and replace obamacare bill going thru the house when it hasn't even gone thru the senate yet LOL,"republicans, obamacare","[['obamacare', 'house', 'senate']]"
639,AHCA," discriminates against mothers, children, seniors, individuals with disabilities, and the sick. This is shameful -- lives are at stake.",;,"[[], []]"
640,AHCA,New Health Hashtag 👉,,[[]]
641,"AHCA, ACA",My take as a socialist as to how we deal with the health insurance war. If you like the vid retweet it.,socialist;,"[[], []]"
642,,"You lied, Barry, and now your legacy is going to die. Of course, if that's your idea of a legacy you've got bigger problems than that. ",barry;,"[[], []]"
643,VoteNoAHCA,Pro-life extends beyond 9 months gestation  😡😢,,[[]]
644,,THANK THESE GOP House members who put their constituents FIRST. 👏🏻👏🏻,"gop, house;","[['gop', 'house'], []]"
645,AHCA,"Destroyed over the sad news about . I want to go home and use a ""sick day"" but that might later be considered a pre-existing condition.",;,"[[], []]"
646,,This from the same drooling moron who declared there would be nothing....,,[[]]
647,,And Democrats are stunned as to how they lost in 2016.,democrats,[['democrats']]
648,,"""Give him a chance,"" they said. ",,[[]]
649,"Trump, Obama, TheGOP, Obamacare",just took a giant step toward undoing 's greatest legacy     @Independent,,[[]]
650,"Trumpcare, AHCA, Obamacare, FucktheGOP","Get ready to sing ""Nah nah nah"" in 2018, GOP. This is why I left the Republicans years ago.",gop; republicans,"[['gop'], []]"
651,AHCA,"@chrislhayes @maddow @Lawrence Please say..those Congress vote yes on ,constituents will vote them out 2018,Dems may get House majority","; congress, dems, house","[['congress', 'dems', 'house']]"
652,AHCA,"On Tuesday, November 6th, 2018, 

I will be voting for more House Republicans and Senators, since they are keeping promises.",";;house republicans, senators;","[[], ['house republicans']]"
653,,@GeneralLeiaDC @RepAlexMooney I'll vote for you. House Republicans should be ashamed.,;house republicans,"[[], ['house republicans']]"
654,Trumpcare,These 24 GOP swing state reps voted “yes” for  (which cares not). They're up for re-election in 2018!,gop;,"[['gop'], []]"
655,,"@SueinRockville Hurry, Convene The Death Panel: The House Republicans just passed Trumpcare.  ","death panel, house republicans, trumpcare","[['the house republicans', 'trumpcare']]"
656,midterms2018,REMEMBER,,[[]]
657,AHCA,I have some very serious concerns about 's impact on WV. The Senate needs to take a breath &amp; think it through:,wv;senate,"[['senate'], []]"
658,AHCA,@Alex_Micati @agnesbookbinder Almost makes death sound pleasant.,,[[]]
659,AHCA,@RepCharlieDent Thank you @RepCharlieDent for saying no to .,,[[]]
660,AHCA,How can us as humans stand by and watch this orange alien destroy our country wow sad day america,america,[['america']]
661,Obamacare,Now the House can say they delivered on Repeal &amp; Replace . Now it will be up to the Senate and I am sure 2 committee! @POTUS w/C,house;senate;,"[['house'], ['senate'], []]"
662,ahca,United States of West America and United States of East America have nice rings to them. United States of Flyover America? Not so much,";united states of west america, united states of  east america;united states of flyover america","[['united', 'america', 'united', 'america'], ['united', 'america'], []]"
663,"AHCA, Obamacare, Trumpcare, ACA, TRUMP"," Haiku:

Repeal getting real
Repubs lack humanity --
Make them rue the day.

    ",haiku;;;;;;,"[[], [], [], []]"
664,AHCA,"The House narrowly passed the  health care bill, 217 to 213. But it still has to pass the Senate before becoming law.",house;senate,"[['house'], ['senate']]"
665,VoteThemOut,eat shit.,,[[]]
666,Obamacare,bye Obamacare. won't miss ya,obamacare;,"[['obamacare'], []]"
667,"AHCA, Trumpcare",The @HouseGOP = millionaires with socialized heath care who celebrate taking healthcare away from non-millionaires.,,[[]]
668,,"Yo democrats, I'm with ya and all but in the mean time , people are gonna die. This isn't a sporting event ya assclowns. ",democrats;,"[['democrats'], []]"
669,AHCA,Our Statement on House Passage of the American Health Care Act ():,"house passage, ,american health care act","[['house', 'american']]"
670,"preexistingconditions, obamacare",Michael Savage: If you have anxiety go suck on a lollipop.,michael savage,[[]]
671,AHCA,I can not recall a day where I have been so angry so many different times to the point of seeing stars. Multiple issues. One @Potus,;;,"[[], [], []]"
672,AHCA,"@NancyPelosi WINNING 

 ",,[[]]
673,AHCA,@RepTomMacArthur You are a sexist monster. Rape and assault is not a precondition women should be denied healthcare for.,;,"[[], []]"
674,,Remember folks- these are grown up adult men &amp; women elected to Congress. Acting like toddlers I might add! 🙄,congress;,"[['congress'], []]"
675,,The whole thread,,[[]]
676,AHCA,The Arc Responds to House  Passage of : “Shows callous &amp; dangerous disregard 4 wellbeing of ppl w disabilities”,"the arc,  house passage",[['house']]
677,,"The House Just Passed a Bill to Rewrite Obamacare ""House Republicans say their bill repeals the ACA. Instead, it l… ","house, obamacare, house republicans, aca;","[['house', 'obamacare', 'house republicans', 'aca'], []]"
678,AHCA,"This is true: ""It’s a bill that’s sold on a giant pack of lies""  ",,[[]]
679,"AHCA, CACA, Trumpcare, neverforget, VoteThemOut",The cruelty of,,[[]]
680,AHCA,HRW calls on US Senate to reject  legislation as an unacceptable attack on the right to health care for all  …,"hrw, us senate",[['senate']]
681,"VOTE2018, GOP",the  out,,[[]]
682,,A similar situation to Type 1 diabetics on too low an income. Or... the US equivalent of...me.,type 1 diabetics;;us;,"[[], []]"
683,,Want to take immediate revenge on House Republicans who voted to destroy health care? Here's how :,house republicans;,"[['house republicans'], []]"
684,VoteAmodeiOut,cc @MarkAmodeiNV2 take a good look.  We will not forget.,;,"[[], []]"
685,"AHCA, TheResistance",.@realDonaldTrump Oops. Cock.,;,"[[], []]"
686,"Obamacare, Repeal",Senate GOP to Snub House   Bill and Write Its Own  via @bpolitics,senate gop,"[['senate', 'gop', 'house']]"
687,AHCA,"Comments from @repdonyoung on his support for ACA repeal/, via @lruskin
 ",aca,[['aca']]
688,AHCA,"@swingleft  Vote the evil, laughing jackasses out.
",,[[]]
689,AHCA,"Yay, we actually got $omething done! Sure the vote was 217 to 213, but 217 to 213 means YOU LOSE your health insurance.",;,"[[], []]"
690,AHCA,"Does @CongCulberson have an opponent for his seat yet? If not, swear I will run against him. I'm that mad.
@actblue
@texasdemocrats
",;;;;;,"[[], [], [], [], []]"
691,,The Republican party is the most superficial men and woman in this country they  don't stand for anything but them self just like Donald,"republican party, donald",[['donald']]
692,,Love it! Now let's make it a reality!,;,"[[], []]"
693,,The GOP health bill will take away mental health care. @RepMeehan We're supporting your opponent.,gop health bill;,"[['gop'], []]"
694,,It's actually a lot bigger than that...higher than Mt. Everest.,;mt. everest,"[[], []]"
695,"gopistheswamp, AHCA",@GOP  I truly hope What goes around comes around for 217 of you,,[[]]
696,AHCA,This was all politics and arm twisting. No true research done or consideration taken for the millions of lives it will affect.,;,"[[], []]"
697,,Thank you to those who voted yes. We need a redo on unaffordable obamacare,;,"[[], ['obamacare']]"
698,,"@billmaher @refooksjr @senfranken @tomhanks 

No hearings. No CBO score. No vetting. No debate. So...no one knows.

    ",;;;cbo;;;,"[[], [], ['cbo'], [], [], []]"
699,obamacare,The free market will fix the  disaster after the congress lifts the burden.,,[['congress']]
700,"Obamacare, Trumpcare",GOP Takes Ownership Of Failing  With  Vote That Doesn't Repeal Obamacare,"gop, obamacare","[['gop', 'obamacare']]"
701,AHCA,Today republicans proved that they no longer have the interests American citizens in mind. Only the pocketbooks of the rich.,"republicans, american;","[[], ['american']]"
702,"Obamacare, FACT","With  I
- Couldn't keep my doctor
- Couldn't keep my plan
- Paid Higher Premiums
- Had Higher Deductible
- Had Less Coverage
",;;;;;,"[[], [], [], [], [], []]"
703,AHCA,My Sims City has better health coverage than .,sims city,[[]]
704,AHCA,"As a Canadian, I can assure you that universal healthcare is one of our proudest/most treasured accomplishments. This makes me sad.  ",canadian;,"[['canadian'], []]"
705,AHCA,Can anyone name one good thing about the ? Seriously.,;,"[[], []]"
706,,Support @DFL3CD  to find candidate to CRUSH @RepErikPaulsen in '18. Will NOT forget his vote for !,;,"[[], []]"
707,,Socialist medicine fails when the rich run out of money. Plus your new world is being invaded by third world savages.,socialist;,"[[], []]"
708,"AHCA, TheResistance",A Little-Noticed Target in the House Health Bill: Special Education  @RepLanceNJ7,house health bill,[['house']]
709,"tcot, ccot, Obamacare, ObamaLegacy, Failure, Libtards, GOP",House HAS VOTES Now To REPEAL OBAMACARE! [VIDEO],"house, obamacare;","[['house', 'obamacare'], []]"
710,AHCA,.@RepAndyHarrisMD You're a big piece of shit! Thanks for you sticking by your party and not the country,;,"[[], []]"
711,AHCA,"Maybe it is time voting for the  became a preexisting condition. Untreatable and terminal at mid-term elections, 2018.",;,"[[], []]"
712,,"Remember their names(1/2):
@RepLaMalfa
@repmcclintock
@reppaulcook
@RepJeffDenham
@RepDavidValadao
@devinnunes…",;;;;;;;,"[[], [], [], [], [], [], []]"
713,,what,,[[]]
714,AHCA,"Dems to GOP after AHCA vote: 'Hey hey hey, goodbye' That's Awesome! The  Sucks  ","dems, gop, ahca;","[['dems', 'gop', 'ahca'], []]"
715,,@janekleeb @NebraskaDems We need to work with everything we've got to turn NE house seats in 2018.,"ne, house",[['house']]
716,"AHCA, voteoutGOP","Nailed it. Tear up your ""Christian"" cards, you snakes.
  ",christian;,"[[], ['christian']]"
717,"AHCA, MAGA","You can thank old, rich, white men for the lives that will be lost/taken away because of this  ",,[[]]
718,"AHCA, Religiousliberty","How's that mild nausea, Comey?  ",comey,[['comey']]
719,,"Come time for reelection, they will hear a large collective chorus of ""Don't let the door hit you...."" ",,[[]]
720,,"They'll rue this day. In fact, I doubt they'll sleep well tonight. ",;,"[[], []]"
721,"obamacare, AHCA","Don't worry Libs, Bleeding Hearts will still be covered under the AHCA  ","libs, ahca",[['ahca']]
722,"GOP, AHCA, GodFuckingDamnit, America, Backtracked",We're all as good as dead because the foxes are running the henhouse.     isn't America now.,; america,"[[], ['america']]"
723,AHCA,"This is removing federal troops from a Reconstruction South.

This is trickle-down economics.

This is called a win.

",reconstruction south;;;;;;,"[[], [], []]"
724,,"You forgot one... Voted to make rape a pre-existing condition so women will fear to report and lose insurance. Be bold, you did this.  ",;;,"[[], []]"
725,,"Yes, celebrate ridding millions of americans of a healthy future where they won't have to choose between life-saving medication and food. ",,[[]]
726,"Trumpcare, voters, KILLTHEPOOR",Watch this quick vid as  make easy prey out of their own !  Oh yes and be sure to  the next time too!,;,"[[], []]"
727,AHCA,@thatbilloakley As someone with a pre-existing condition....Everyone who voted for the  can go fuck themselves.,,[[]]
728,,Evil.,,[[]]
729,AHCA,"Anyway! Teaching two spin classes tonight to help stay healthy/ahead of the opposition. I still need to take insulin, but ¯\_(ツ)_/¯

",;;insulin,"[[], [], []]"
730,AHCA,Call YOUR REPS WHO VOTED YES. Direct action at constituent office near you. SHOW your senators that a vote for  is political suicide.,;;,"[[], [], []]"
731,,"I can afford the chemotherapy that I take along with the other drugs that I need daily. Without these drugs, I die. No drugs, smoking, 🥂 NO ",;;,"[[], [], []]"
732,MAGA,Nothing puts a smile on my face faster than seeing a LibNAZI cry.,libnazi,[[]]
733,,Your daily reading.,,[[]]
734,"Trumpcare, Obamacare",GOP &amp; DNC are the pingpong paddles. Citizens are the ball.,"gop, dnc;","[['gop', 'dnc'], []]"
735,AHCA,Maybe @SpeakerRyan should go to work at a Job and Family Services for a week. Or a hospital. Or a free clinic. Or a detox center.,family services;;;,"[[], [], [], []]"
736,"IAmAPreexistingCondition, AHCA",Female. Disabled from being the meat in 3-car sandwich. Anxiety. Depression. Asthma. Rosacea. IBS. NCAH.,;;;;asthma;risacea;ibs;ncah,"[[], [], [], [], [], [], [], []]"
737,"AHCA, Shame","The men responsible for saying domestic abuse, abortions, and being pregnant is a pre- existing condition.  ",,[[]]
738,AHCA,the  is a complete joke.,,[[]]
739,,@GOP F**k all of you. House Republicans finally pass an Obamacare repeal and replacement  via @HuffPostPol,";house republicans, obamacare","[['house republicans', 'obamacare'], []]"
740,AHCA,"GOP celebrating like they won the game. While in actuality, they have a one point lead at halftime.   ",gop;,"[['gop'], []]"
741,AHCA,"How do those in power get their sick jollies off? 
Today was a good example. 
",;,"[[], []]"
742,"Obamacare, TrumpCare",Same people against  R the main ones that need it🤔cuz  is 4 the rich &amp; uninjured &amp; U ain't Rich 😂,,[[]]
743,AHCA,Hey @theobserver do you have a list of the NC and SC house representatives' vote on ?,"nc, sc, house representatives",[['house']]
744,"StarWarsDay, DarkSide, TheForce, Congress, AHCA",Since its . it certainly feels like the  of  aka  came after older Americans w/ the  bill.,;americans,"[[], ['americans']]"
745,AHCA,"We lost our voice, our rights, control of our bodies, &amp; now our healthcare. Trump has destroyed our country with a smile on his face. ",; trump,"[[], ['trump']]"
746,AHCA,Is their a way to see a non-partisan comparison between  Obamacare and  without the atomic OMAGAW DIS A OUTRAGE RABBLE RABBLE RABBLE,obamacare,[['obamacare']]
747,AHCA,"Are you drinking up, @RobWittman? Celebrate now, we are watching and we are angry.  ",;,"[[], []]"
748,,"@realDonaldTrump You're all going to be unpleasantly surprised over the next few years, you worthless, amoral sociopaths    ",,[[]]
749,ahca,".@HouseGOP who voted Yes for today's healthcare revisions, prepare to be revised out of your seat in 2018.  You are despicable.",;;,"[[], []]"
750,AHCA,"Stop calling this . It is now Trumpcare, a disgusting bill that protects the rich and let the poor to die without proper coverage",;trumpcare,"[[], ['trumpcare']]"
751,,When you're so mad you could just literally cry,,[[]]
752,"Obamacare, Trumpcare, FuckTrump, AHCA, StopTrump, Resist"," wasn't broke, it didn't need to be fixed❗   is NO CARE‼️ 🤥  🛑 👊",;;,[[]]
753,,At this point..we tried to save those in red states.. they refused.. so they will deal with the consequences. Can't wait for the CBO score.,;;;cbo,"[[], ['cbo']]"
754,"AHCA, VoteNoAHCA","Dear @tedcruz, if  is so great, Why is the @AmerMedicalAssn against it? Do you think you will survive a yes vote? ",;,"[[], []]"
755,"ahca, gopkillspeople, thegop","We will ALL HAVE TO ANSWER TO GOD, EVEN YOU @realDonaldTrump 
&amp; you won't have $$ to protect you then!
   is evil",;;,"[['god'], [], []]"
756,AHCA,"Again, USA:

If your Rep voted for , call them on it.
If your Rep voted against it, thank them.

And tell the Senate to . ",usa;;;;senate,"[['usa'], ['rep'], ['rep'], ['senate']]"
757,"TrumpDontCare, AHCA, resist",Vote these inhumane people out of office,,[[]]
758,"AHCA, shame, trumpcare",This is insane. It's a law condemning women and poor people.,;,"[[], []]"
759,"TrumpCare, AHCA",".@RepMcSally,

Screw you!

You sentenced innocent folks to death! You are the death panel!

You will hear us!

 ",;;;;;;;;;;,"[[], [], [], [], []]"
760,"TheResistance, Obamacare","WE The People are watching! The GOP &amp; 2 DEMS who voted against our healthcare, MUST GO!  …",";gop,dems","[[], ['gop', 'dems']]"
761,,California's House Republicans are crucial to the healthcare vote. More than half are undecided,"california, house republicans, healthcare;","[['house republicans'], []]"
762,,@JoeNBC So...begin to work with the Senate on Obamacare repeal or throw a party to celebrate the House vote?  Answer is obvious.,"senate, obamacare, house;","[['senate', 'obamacare', 'house'], []]"
763,Obamacare,"tfw you're rich and your party will condemn thousands of people to die prematurely to make you richer
 ",,[[]]
764,"FakePOTUS, Obamacare","At Rose Garden after a win he boasts, ""I'm not a politician, how my doin' not too bad hah, I'm President, right!""  ",rose garden,[[]]
765,"GOP, TrumpRussia","In other words the: has approved &amp; is promoting Authoritarian Kleptocracy.. Independent  investigation NOW.

 ",authoritarian kleptocracy;;,"[[], []]"
766,,"Somehow I bet erectile dysfunction isn't considered a pre-existing condition. Love to pay for their boners, lucky us. Mmmerica. ",;;,"[[], [], []]"
767,"AHCA, Obamacare","How Obamacare Fails People With Pre-existing Conditions 
  Affordable Care Act
",obamacare; affordable care act;,"[['obamacare'], []]"
768,ObamaCare,repeal HR are rushing to a vote contains an exemption for members of Congress &amp; staff from losing benefits that bill eliminates.,"hr, congress",[['congress']]
769,AHCA,"Retweeted Jim Clyburn SC-06 (@ClyburnSC06):

The  will have such an egregious and inhumane impact on...",jim clyburn;,"[[], []]"
770,,". @PAAttorneyGen will you join him, please? With love- a resident of Pa. ",; pa,"[[], []]"
771,,Look at the shit-eating grin on this disgusting worm who voted today to destroy the lives of hundreds of thousands of his constituents.,,[[]]
772,AHCA,"I never really loved the expression, but @CharlesPPierce just went all types of masshole on the  and he might just have a point ",,[[]]
773,"Obamacare, AHCA",20 Republican House Members Voted Against the Healthcare Bill,"republican, healthcare bill",[['house']]
774,,Shame!,,[[]]
775,"AHCA, shameonyou, preexistingconditions",how much of this has to do with the American people and their lives vs. Getting revenge on Obama,"american, obama","[['american', 'obama']]"
776,,"Of course. This was always going to happen. Will go to conference, and the Senate will make the House vote up or down on theirs. ",";;senate, house","[[], [], ['senate', 'house']]"
777,AHCA,I'M TRYING TO REMAIN CALM BUT HOW CAN I REMAIN CALM WHEN SOME OF MY PREEEXISTING CONDITIONS AREN'T COVERED?,,[[]]
778,,These 24 House Republicans voted for Trumpcare in seats where Trump got less tha..,"house republicans, trumpcare, trump","[['house republicans', 'trumpcare', 'trump']]"
779,,House Republicans pass bill to replace and repeal Obamacare - CNN: CNN House Republicans pass bill to replace…,"house republicans, cnn","[['house republicans', 'obamacare', 'house republicans']]"
780,,"Only (R) rep in Arizona to vote no. For the wrong reasons, but I'll take it ",arizona;,"[[], ['rep']]"
781,"AHCA, WA5","@cathymcmorris thanks MoRo, yor a peach.  . You need to be repealed and replaced. 
 @votebenstuckart ",;;,"[[], [], []]"
782,"AHCA, midterms2018",The  will not serve those Americans with pre-existing conditions. Don't B fooled.,americans;,"[['americans'], []]"
783,"Obamacare, AHCA","Does this mean that I can no longer thumb my nose at  and ignore the mandate? Darn, I love shafting government. ",;,"[[], []]"
784,obamacare,Do u agree w/ what The House did 2  today? Answer here:  @FrankieDarcell @LesterHoltNBC @NBCNightlyNews,house;,"[['house'], []]"
785,"TrumpCare, AHCA, plutocrats, GlobalNonLeadership","It all trickles down here, Richie!
    ",richie,[[]]
786,,When they go low...,,[[]]
787,AHCA,My statement on how today's House vote on the  and will hurt America's kids.,"house, america","[['house', 'america']]"
788,"saveaca, ahca",donate here to support @mikelevinca fight for the 307k californians rep. issa betrayed today.,,[['rep']]
789,,"Wow. The house actually did it. JFC. 

Here’s to hoping this dies in the senate and this vote costs Republicans both chambers.",; house; jfc;republicans,"[[], ['house'], [], ['senate']]"
790,,"If you're like me, a fortunate Canadian with access to healthcare, please consider channeling your anger and donating to @PPact ",canadian,[['canadian']]
791,"AHCA, Tcot, trumptrain, MAGA","Nothing SWEETER than Liberal tears! Today we are DROWNING in them. THANK YOU Republicans for passing the  !! 
  ",liberal;;republicans,"[[], [], []]"
792,,House Republicans were asked to walk the plank on Trumpcare and they did. Hello 2018,"house republicans, trumpcare;","[['house republicans', 'trumpcare'], []]"
793,,I can't wait to see @MSNBC's coverage of these upcoming town halls. These GOPers are about to get slammed for this  vote!,;;,"[[], []]"
794,"AHCA, Trumpcare, Obamacare",SHAME on evry single republican who voted for this disaster   - just to repeal  U guys are the worst. pathetic ppl.,;,"[[], []]"
795,AHCA,The GOP house Republicans passed the  against the will of the American people who when last polled said about 17% supported this bill.,"gop, house republicans, american","[['gop', 'house', 'american']]"
796,America,So take away from the poor to give a tax cut to the rich? You got to be 💩 me.  you want this? fight bsck✊🏼,;;;,"[[], [], [], []]"
797,AHCA,"A sexual assault offender can become President, but a sexual assault victim cannot get healthcare.   ",president,[[]]
798,,"The House passed this Horrible Health Bill, . Republicans have committed Political Suicide.","house, health bill; republicans","[['house'], []]"
799,,My father in law got cancer treatment due to Obamacare,obamacare,[['obamacare']]
800,SaveTheACA,"Dear House Republicans, Have a nice tax-payer funded 11 day break. We know where you live",house republicans;,"[['house republicans'], []]"
801,AHCA,"Current Mood: The Heart Is A Lonely Hunter.
 ",,[[]]
802,"GOP, AHCA",Definitely waste no time in calling your Senators.  needs to hear passing  will definitely have political repercussions,senators;,"[[], []]"
803,AHCA,I honestly feel sick over this. Does that mean I have another pre-existing contusion to add to my list?,;,"[[], []]"
804,,@SenateMajLdr @SpeakerRyan @HouseGOP @SenateGOP @POTUS Fuck you all. God won't let you get away with hurting so many people over healthcare,;,"[[], ['god']]"
805,AHCA,"Anyone trademarked Trump Coffins yet?

",trump,[['trump']]
806,"FireKenBuck, FireScottTipton, FireDougLamborn",. They just voted to let Coloradans die.,coloradans,[[]]
807,,"This celebratory atmosphere over stripping health care from the sick is one of the most obscene political spectacles I've witnessed. 
",,[[]]
808,,@HouseGOP What happens when u sentence a constituent to death and then approve gun purchases for nut jobs? Wait for it. Wait.,;;,"[[], [], []]"
809,"BREAKING, trumprussia, russiagate, resist, obamacare","""@funder: : House Passes Bill That Will Never Become Law

   ""

LET US HOPE THIS IS TRUE",house;,"[[], ['house']]"
810,,Way to get 'em is through the courts,,[[]]
811,,"Cali,  7 dem seats as good as ours in 2018. Donate, call, knock on doors. START TODAY. Issa et al effectively signed their resignations.",;;;,"[[], [], [], []]"
812,,The sad part is ...these voters will pay dearly,,[[]]
813,,House Republicans just voted for a healthcare bill that the CBO didn't even have time to score yet.,"house republicans, cbo","[['house republicans', 'cbo']]"
814,,“Millions of Americans are about to lose health care coverage @GOP are drinking beer”: Dems slam @HouseGOP,"americans, dems",[['dems']]
815,,"WATCH: Democrats Taunt House Republicans After Trumpcare Vote, Sing 'Na Na Na Na, Hey, Goodbye'

Decorum Abounds ","democrats, house republicans, trumpcare;;","[['democrats', 'house republicans', 'trumpcare'], []]"
816,TrumpCare," is not only cruel and callous.

It's also unconstitutional.

And @AGSchneiderman is on it. ",;;;;,"[[], [], []]"
817,AHCA,"Properly articulating my feelings about  is hard, but I do have two things to say: 
1. Fuck you @HouseGOP
2. Super fuck you @PRyan",;;;;,"[[], [], [], [], []]"
818,,".@realDonaldTrump First, House Republicans are trying to effectively deny access to reproductive health services—a… ",house republicans,[['house republicans']]
819,,House Republicans pass healthcare bill in first step toward replacing Obamacare,"house republicans, obamacare","[['house republicans', 'obamacare']]"
820,,"@KamalaHarris I have no doubt you oppose this, but I urge you to make the impact clear and I will stand beside you in this fight. ",,[[]]
821,AHCA,If you voted for trump thinking you were different from the rest. That he would look out for you. Today proves you are wrong.,trump;;,"[['trump'], [], []]"
822,,Doom in their career in politics &amp; beyond.,,[[]]
