ID,HashTags,TweetText,annotation_limited types,ritter_candidates,calai_candidates,stanford_candidates,User
925,,C'mon now Jamie kidddddd #jamievardyshavingaparty,Jamie,,[],,jbsrq
926,,RT @amandasosa23 : Is it thundering or is my dad snoring ????? I may never know,,,[],,ceeny
927,AHCA,"Turkish Data Breach Exposes Personal Information of 50 Million Citizens : On Monday , an anonymous h ... . databreach",,ahca,[],,shingen
928,,RT @kanyewest : Swish February 11 16,,republican,[],,Fancy_Jackalope
929,"Republicans, ACHA",May you always smile like this . #LongLiveZaidHamid https://t.co/a7HoLlzqAB,,,[],,kjduffey
930,obamacare,Wednesday Papers : Death knell sounds for UK executive pensions : And UK recovery ' motors ahead ' as faster growt ...,"UK,UK",,['health insurance'],,JoshKWill
931,,alienvault : #Hacked Uber Accounts Charge Users for Trips in #China : #data #breach #infose… pic.twitter.com/NN1E2L9bi5,"Uber,#China",,[],,mustardyeIIow
932,,"Pagi ini judulnya sunday morning dan anugrah persahabatan ;) , what a blessing ;)",,,[],,LilMissRightie
933,AHCA,RT @team_barun : Send your wishes and edits for Barmeen by tomorrow so we can post on our blog 3 ),Barmeen,,[],,ThePerezHilton
934,AHCA,"RT @buffalobills : Officially out for Sunday 's game : Gilmore , Brooks , Bradham , Karlos Williams . #BUFvsPHI","Gilmore,Brooks,Bradham,Karlos Williams",,['bc'],,BellaStar_88
935,AHCA,"RT @alaMatt26 : Si kuya galit na . Hahaha ! Pero , may point naman siya . #ALDUBONLYYou https://t.co/Ka5O5XvYK6",,,[],,N8tiveDreamr
936,,RT @BIGMONEYMIKE6 : MONSTER BOUNCE COMIN ON $VTCQ TOMORROW !!!!!!! IM LOADING THE BIDS AS I TWEET !!! #BMM https://t.co/aoOZvOFGIs,MONSTER BOUNCE,,[],,vjf6122
937,,Em breve o mar vai tomar conta de tudo que roubaram dele !,,hey hey hey goodbye,[],,ElectPiperFogle
938,AHCA,"1 Dead , 6 Hurt in Sacramento Park Shooting : Attack on birthday gathering at Sacramento park leaves 1 dead , 6 w ...","Sacramento Park,Sacramento",ny,[],ny,socflyny
939,,"DeKalb County , Ga ., police officer in serious condition after a shooting at a Stone Mountain apartment complex - D…","DeKalb County,Ga,Stone Mountain",,[],,CroonerFriday
940,,RT @jakodeleon : Why not ? ;) That 's what records are for isn't it hehe #ALDUB11thWeeksary https://t.co/YgGAlFFa1B,,,[],,cathylanski
941,"obamacare, trumpcare, gop, affordablecareact, ahca",No tips from me tomorrow on the fizzy stuff back Craigs he may do well without me jinxing them .,Craigs,,[],,joemoconnell
942,SlowHands,@krisp_y guess who i won't allow to cling onto me tomorrow !!,,,[],,mrkumar2725
943,"Ryancare, AHCA, sucker",You reserve the right to march to your own drummer now as you ... More for Pisces,Pisces,,[],,TheRealOrchid
944,Obamacare,Four injured in Arlington sports bar shooting : Arlington police are searching for at least one suspect after a ...,"Arlington,Arlington",republican obamacare,['senate'],senate,RyanGraham10
945,"ahca, ad",@ghoda983 have my album free download &lt; 3 https://t.co/JRZxdIqVPX ( link in bio too ) may i ask you to retweet &amp; post it on Facebook ?,Facebook,rae,[],rae lewis-thornton,raelt
946,,"BBC News - Charleston shooting : ' It 's in our power to act on gun crime ' says Obama … . Start in Chicago , Detroit .","BBC News,Charleston,Obama,Chicago,Detroit",,[],,dudoronomy
947,,@Pedroh408 I work on wednesday . What 's going on Wednesday ?,,,[],cbo,AmolShalia
948,,"Pre-Market View - March 31 , 2015 : via @YouTube",,,[],,adjshow
949,,Job Opening In NFL ( National Fertilizers Limited ) Recruitment On 14th August 2015 -,"NFL,National Fertilizers Limited",,['kindly usher'],,shutupjoani
950,,Shake off that Monday feeling w/ @DJMarkOne 6-8pm on #radio #youbroadcastradiolondon,,maryland,"['maryland', 'representative']",,GunpowderTreasn
951,,RT @5SOS1DAlert : Harry being his whale self . ( 5th June ) ( Via 1dlovesoned on Tumblr ),Harry,"why democrats,house republicans",[],"house,obamacare",kathleea1
952,,RT @_hazelnutnarry : so who will tomorrow 's drama be about ?? #KCA #Vote1DUK #NOCHILLPHILIPPINES #HaveAGoodRestZayn,,,[],,jillbelasco
953,"Obamacare, AHCA","@CodySimpson July 14th 2014 was the best day of my life , bc I saw You .. can u pls come back ? We love you #PortugalNeedsCodySimpson x74",,karma,[],,fergusoneddie
954,Obamacare,2nd one https://t.co/AAYoH2zOiw,,,[],,The_Big_Toe
955,iamapreexistingcondition,"Jesus was God Himself making one LAST effort to save mankind . Unfortunately , many have rejected that message . https://t.co/RrdBGgT7ev","Jesus,God",,[],,ShePersisted27
956,AHCA,"Poetry Sunday : ' Fox Woman ,' by Dorothy Gilbert | Women 's Voices For Change https://t.co/5XgaN8GlJ6 via @sharethis","Dorothy Gilbert,Women 's Voices For Change",,[],,Wiswell
957,"AHCA, Obamacare",veeba scenes uploaded by @tonni263 3rd december 2015,,,[],,JasmineSonadora
958,"AHCA, angrytweet",@gyabo8 okay . sunday ! pasayahin niyo din akooo :' ( @themacmacshow,,paul ryan,['away healthcare'],"paul ryan,",TheMennoKnight
959,"MayThe4thBeWithYou, AHCA, RepealAndReplace, Resist, TheResistence, ShowSupport","NEPAL UPDATES : As Pastor Tim announced on Sunday , you can respond to the major crisis happening in Nepal through Convoy of Hope ...","NEPAL,Pastor Tim,Nepal,Convoy of Hope",,[],,DeepStateAI
960,,Si James yap nasa gilid . Go Mar Roxas !,,,[],,rlgordon18_ruth
961,"AHCA, columbia",There is nothing more real than this pain #feedthefire #Painkiller #MondayMotivation #MotivationMonday #Monday #writerslife #writing,,repjoewilson,[],,TechnicallyADoc
962,AHCA,RT @desusnice : if after watcing this you dont accomplish your dream by tomorrow idk yo,,,[],,PreetJ11
963,,"* Look further into the rabbit hole , you may discover more than you expected .",,,[],,joelsg14
964,"AHCA, ACA, impeachTrump",E-cigarette ads may fuel urge to smoke #health #ads #ecigarette #fuel #may #smoke #to #urge,,,[],,CathyFielding
965,"HouseGOP, Obamacare, ahca","TalkTalk could receive £ 500,000 fine for data breach : Bank and credit card information of 4 million TalkTalk c ...","TalkTalk,TalkTalk",,['messenger'],,cruxfinder
966,,"Cola de personas para abordar un ferry en el puerto de #Mytilene , #Lesvos , #Greece , 6 de noviembre , #refugeesGr https://t.co/vyhw4XWRVE","#Lesvos,#Greece",,[],,RC90028
967,AHCA,RT @OnceInALouTime : Watching the 2nd Narnia and it 's making me think of when we said Narnia,Narnia,scary clown cars,[],,PhilaHowieRose
968,AHCA,RT @mediacrooks : Is there any doubt ? @FordFoundation &amp; @ArvindKejriwal both Son of Gods .. Law unto themselves .. https://t.co/BaY3zJvz9N,,,[],,dlbvet
969,,You may be locked in an endless debate that has no clear winne ... More for Virgo,Virgo,djt,[],,LizRabban
970,Obamacare,,,,[],,JamesJhr42
971,AHCA,ICANN resets passwords after website breach,ICANN,,[],,ALAIowa
972,,New-home sales rose in November after weak October https://t.co/UdUuPdiwoc https://t.co/GdhytUJWvo,,,[],,SlimDuncan3
973,AHCA,"Happy Tuesday , everyone !",,,[],,KellyGirlonFire
974,news,"Um . If the Payson a Temple dedication is tomorrow , why do I have to go to church ? #LDS #twitterstake","the Payson a Temple,#LDS","trump,house republicans,rose garden",[],"house,rose garden",bosocial
975,,#Snapchat Breach Exposes Weak Security | Photo by J . Emilio Florespic .twitter.com/8GTCH4VAsY,"#Snapchat,J . Emilio",,[],fuck house,TOPSTITCH95
976,AHCA,"Snapchat fixes ' Find Friends ' feature , developers finally apologise for breach - NDTV Gadgets via Gadget","Snapchat,NDTV Gadgets",,['gov.'],,VulpesUpskirta
977,"AHCA, DoTheRightThing",@mmorgash are you coming next Sunday !?,,,['senate'],senate,CutlerCoalition
978,disabled,"RT @HaroldWGreer : @KirkHerbstreit Kirk , can we get a RT ? Donations for the family https://t.co/kjT4ggZOjR . https://t.co/6RUfdVUC7c",,,['a retired special education teacher'],,DrADThrasher
979,AHCA,New Orleans Mother 's Day parade shooting : 17 wounded as police look for three people in connection with attack - …,"New Orleans,Mother 's Day",,[],,WorldOfChrissy
980,AHCA,Naku ahh kinakabahan ako ahh parang may naamoy ako ahhh !!! @allanklownz ahhhh kinakabahan ako !!!!!!!! #ALDUBMostAwaitedDate,,fundraising spike,['single page fundraiser for democrats'],,xafferty
981,,Huhu slamat at may naabutang bacon and cheese onigiri pa sa famima . delayed lahat ng meals ko ngayon huhu,,,[],,scottwongDC
982,AHCA,"Thomson Reuters ' RESEARCHERID Indexing . Call for paper Vol 3 Issue 6 , 2015 Edition . Last date : June 20 , 2015",Thomson Reuters,,[],,DandelionDollar
983,AHCA,"He that is of the opinion money will do everything may well be suspected of doing everything for money . Franklin , Benjamin",,,[],,BeachcomberNC
984,"Obamacare, crybabylibs",@camerondallas Hi Cam it 's my 16th birthday :) please make me happy and follow me I love you to the moon ! ( dont ignore me)mlkjhgfdsq,Cam,bush,['bush'],,kacfoto17
985,,Washington Marysville Pilchuck High School Reports Shooting - … pic.twitter.com/j7jrUDUhSS,"Washington,Marysville Pilchuck High School",house republicans,[],house,RitaTanos
986,,TWITTER SHOUT OUT TIME ! RT to enter ! I will pick 10 winners ! Contest ends on Friday 21 August 2015 !,TWITTER,"darrell issa,ahca",['darrell issa'],"darrell issa,ahca",protestcards
987,"AHCA, trumpfail, Trump",RT @halsey : I'm the most freckley I've been in years yes sun wash over me like a glorious light I am thriving .,,,[],,FlipNoir
988,"mysoginy, AHCA, TheResistance, notnormal",RT @Calum5SOS : Ready to play with @GMA tomorrow morning .. And Cleveland in the evening . Will I be seeing YOU ?,Cleveland,,"['ovarian cancer', 'testicular cancer']",,jennmhunter
989,ObamaCare,My 21st birthday is in one month bitchessss,,,[],,PoliticalOz
990,AHCA,Really ? RT @CBCAlerts : Several hurt in shooting at parade in New Orleans : reports . Shots fired at Mother 's Day parade #nola,"New Orleans,Mother 's Day",spineless mayonnaise turds celebrate victory over michelob lites,[],,grinandberit
991,AHCA,"1 Killed , 3 Wounded In Shooting At Northern Arizona University , Flagstaff",Northern Arizona University,,[],,Peace2yaa
992,,"House Speaker Brian bosma says "" Had a very productive discussion it 's my hope we meet our goal tomorrow of coming to successful conclusion .""",House Speaker Brian bosma,,[],,Carter_Quinn
993,,The Glassi Junction is one of the best bars ! Information about The Glassi Junction https://t.co/ijziJLLeYA #DANDENONG #FOOD #GLASSI,"The Glassi Junction,The Glassi Junction",the president and the future speaker,['the president and the future speaker'],,LousyPundit
994,"mentalhealthmonth, crush, AHCA",P.E.I. environmentalists march Sunday to demand climate-change action .. https://t.co/X8yb4OhOzF,P.E.I.,joe kennedy,"['gop', 'rep. joe kennedy']","joe kennedy.,gop",citizen_spatzi
995,AHCA,#Ingress #RedFaction https://t.co/pPvLOcWiCu,"#Ingress,#RedFaction",,[],,bunnie1129
996,AHCA,"RT @AmazingRoom : When the sun smiles , the birds smile back !",,arya stark,['arya stark'],arya stark,whithonea
997,"ResistTrumpCare, RESISTANCE",cinco de may I go home ?,,,[],,msnortonela
998,"Obamacare, Oakland",RT @ChelseaFC : Our new global betting partner @BetVictor previews Sunday 's game ...,,,"['gop', 'cnn']",,OaklandNews2
999,"resist, remove, MayTheFourthBeWithYou","Iranian hackers breached a U.S. dam’s network security , report says : Iranian hackers managed to breach the net ...",U.S.,,['gop'],"house,gop",88weighted
1000,,@nytimes -May he R . I . P,,,['gop'],"house,gop",88weighted
1001,,RT @unionlosangeles : Jun Takahashi,Jun Takahashi,,['gop'],"house,gop",88weighted
1002,,"2 dead , 2 wounded after shooting at Al Barnes Park in Tampa - @TBOcom","Al Barnes Park,Tampa",,['gop'],"house,gop",88weighted
1003,,I can't believe the Roseburg shooting happened only 3 hours away from me . My prayers are going out to everyone affected .,Roseburg,,['gop'],"house,gop",88weighted
1004,,"_9ems https://t.co/mwn5RqWdWl December 25 , 2015 at 05:50 PM",,,['gop'],"house,gop",88weighted
1005,,"Parliament to continue debate on refugee crisis : Ljubljana , 2 November - The parliamentary Home Affairs Commit ... https://t.co/xWdS8m6F0v","Ljubljana,Home Affairs Commit",,['gop'],"house,gop",88weighted
1006,,RT @CJHSTD : dries out seulgi 's emo-ness under the sun,,,['gop'],"house,gop",88weighted
1007,,… 9 dead in Texas biker brawl,Texas,,['gop'],"house,gop",88weighted
1008,,RT @Awaydays23 : FC Porto at home to Bayern Munich on Wednesday,"FC Porto,Bayern Munich",,['gop'],"house,gop",88weighted
1009,,"650,000 Affected by JD Wetherspoon Data Breach | …",JD Wetherspoon,,['gop'],"house,gop",88weighted
1010,,RT @MiamiHEAT : RT to send 2010 All-Star MVP @DwyaneWade to his 12th All-Star Game ! #NBAvote #TBT https://t.co/vO3DSKlz1E,,,['gop'],"house,gop",88weighted
1011,,"If you still haven't read my recap of the Thunderpussy show from last thursday , give it a little read .",Thunderpussy,,['gop'],"house,gop",88weighted
1012,,Baloon march : via @YouTube,,,['gop'],"house,gop",88weighted
1013,,RT @wesleyistheish : How the fuck is it August already ???,,,['gop'],"house,gop",88weighted
1014,,"Shame on SnapChat , Skype for breach","SnapChat,Skype",,['gop'],"house,gop",88weighted
1015,,"Counting calories may not help you lose weight : Are you counting your calories to lose weight ? Well , it might ... https://t.co/gJ1rHRsNHd",,,['gop'],"house,gop",88weighted
1016,,Collins Cuthrell with a RBI single and we are tied at two in the 9th !,Collins Cuthrell,,['gop'],"house,gop",88weighted
1017,,BREAKING : Officials say 4 Marines and gunman dead in Chattanooga Navy reserve center shooting,Chattanooga,,['gop'],"house,gop",88weighted
1018,,S.O.D - March of the S . O . D/Sargent D #ThrashMetal,,,['gop'],"house,gop",88weighted
1019,,Apple 's Security Breach Sheds Light On Upcoming Cyber Talks With China : Apple is in recon mode after a securit ...,"Apple,China,Apple",,['gop'],"house,gop",88weighted
1020,,RT @CHlLDHOODRUINER : every Sunday,,,['gop'],"house,gop",88weighted
1021,,RT @5SOS : Today is Michael 's 17th birthday ! let 's get it trending for when he wakes up :) #happybirthdaymichael :D,Michael,,['gop'],"house,gop",88weighted
1022,,@Cheese_24 he started 6th and fell back to 25th and been running there all day . He 's 16th now,,,['gop'],"house,gop",88weighted
1023,,"Pretty much missed the entire 3rd period due to a fussy baby . Oh well , Go Bolts !!!",Bolts,,['gop'],"house,gop",88weighted
1024,,How many more shootings before we've had enough ? How many more people have to die in the name of the 2nd amendment ?,2nd amendment,,['gop'],"house,gop",88weighted
1025,,"Woah j'ai mis une photo sur snap,c'est grave pas mon genre de photo xptdr jsuis insolente",,,['gop'],"house,gop",88weighted
1026,,RT @Comedypedia : April Fools,April Fools,,['gop'],"house,gop",88weighted
1027,,@EpicLand_Mx May the Force be with you,,,['gop'],"house,gop",88weighted
1028,,"December 20 , 2015 at 08:01 PM Get free Microsoft gift cards by getting paid for searching the web at https://t.co/VDVPblI7Bz #Xbox #Xboxone",Microsoft,,['gop'],"house,gop",88weighted
1029,,Help Ricky and Co . pitch to @richardbranson on June 26th . #Voom,Ricky,,['gop'],"house,gop",88weighted
1030,,"#RIP Deputy Danny Oliver killed in shooting spree , #Sacramento sheriff confirms","Deputy Danny Oliver,#Sacramento",,['gop'],"house,gop",88weighted
1031,,RT @BuzzFeedNews : Watch live coverage of shooting at Santa Monica College,Santa Monica College,,['gop'],"house,gop",88weighted
1032,,@VibeTickets Selling Saturday and Sunday Wireless tickets for well under cost price ! DM me for prices ASAP !! #vibetickets,,,['gop'],"house,gop",88weighted
1033,,@darrenjaychica kuya may NSTP pa po huhuhu,,,['gop'],"house,gop",88weighted
1034,,"Happy fall y'all, spending Sunday at one of my favourite places @YarnsUntangled https://t.co/dTskSRYVJ2",,,['gop'],"house,gop",88weighted
1035,,A Supernatural Encounter with God ! OVER THE SEA AND OVER THE SUN by Carol Warden https://t.co/8DdxbGnoEj @Warden203Carol,"God,OVER THE SEA AND OVER THE SUN,Carol Warden",,['gop'],"house,gop",88weighted
1036,,Ugh ... shooting at #mothersday parade in New Orleans . Pls just pass the bill @BarackObama,New Orleans,,['gop'],"house,gop",88weighted
1037,,@BrenAbolivier @Dasporal @Kur0igetsu OMG JE L'AVAIS PAS CELUI T'ES MON DIEU,,,['gop'],"house,gop",88weighted
1038,,UCLA Health System data breach affects 4.5 million patients …,UCLA Health System,,['gop'],"house,gop",88weighted
1039,,You may be offered an opportunity to conquer a tough challenge ... More for Capricorn,Capricorn,,['gop'],"house,gop",88weighted
1040,,It 's just Thursday https://t.co/9rRc5Eukmx,,,['gop'],"house,gop",88weighted
1041,,RT @jdbfttori : we all need this for tomorrow https://t.co/Yf27UGLNbO,,,['gop'],"house,gop",88weighted
1042,,Muhammad Youssef Abdulazeez Put #Confederateflags back on shelves at Walmart . Take the Saudi flags off . #Amazon . #ChattanoogaShooting,"Muhammad Youssef Abdulazeez,Walmart,#Amazon",,['gop'],"house,gop",88weighted
1043,,"RT @SportsCenter : Devonta Freeman can't stop scoring ! He finds the end zone for his 2nd TD of the game , 10th of the season .",Devonta Freeman,,['gop'],"house,gop",88weighted
1044,,@Happpyfeeet1112 13th December,,,['gop'],"house,gop",88weighted
1045,,Hackers nab 1.2 B passwords in colossal #databreach : | #infosec #cybercrime #hacking,,,['gop'],"house,gop",88weighted
1046,,Most Iconic Photos of the 20th Century -,,,['gop'],"house,gop",88weighted
1047,,"3 killed , 2 in life-threatening condition after west Columbus shooting 10TV …","Columbus,10TV",,['gop'],"house,gop",88weighted
1048,,Gonna be lit !!!! https://t.co/HY3C5pgUAZ,,,['gop'],"house,gop",88weighted
1049,,"RT @rosiesarang : PinkTaem for this album , not solo album ? Omg i wanna have this https://t.co/1APpwnsrsr",PinkTaem,,['gop'],"house,gop",88weighted
1050,,Kmart Australia hit by customer data breach including names and addresses : Kmart Australia has called in the p ...,"Kmart Australia,Kmart Australia",,['gop'],"house,gop",88weighted
1051,,"Sunday 7am @Pirate2DAB with me &amp; @rob_farmingshow #RobertHooper , @NancarrowFarm #farmcommunitynetwork @cornishduck #clubhectare #agrichatuk",,,['gop'],"house,gop",88weighted
1052,,"RT @kowtsnatinito : Nalaman niyang may gusto ko sakanaya . Umiwas . I was like : wala eh , imba . Kala mo walang pinagsamahan .",,,['gop'],"house,gop",88weighted
1053,,RT @InfoJumping : #JumpingLaBaule : Gert Jan Bruggink &amp; Connelly 2 totalisent 12pts .,,,['gop'],"house,gop",88weighted
1054,,So happy with my timetable for my 2nd year of Uni,,,['gop'],"house,gop",88weighted
1055,,It 's Sunday,,,['gop'],"house,gop",88weighted
1056,,I'm about to use a protractor for recreational purposes since 11th grade . Thank you high school .,,,['gop'],"house,gop",88weighted
1057,,"I walked inside my house and Kelsey was sitting on my couch telling my baby sister , "" u shoulda been born on April 1st because ur a joke "" LOL",Kelsey,,['gop'],"house,gop",88weighted
1058,,"@JLeaford #AgentsOfSHIELD returns to Channel 4 on Friday , 27 March at 8pm . YAY !",,,['gop'],"house,gop",88weighted
1059,,"Wednesday , April 08 , 2015 : JumpStart by Robb Armstrong for April 08 , 2015","JumpStart,Robb Armstrong",,['gop'],"house,gop",88weighted
1060,,RT @HorrorBlock : Happy Friday the 13th ! RT this and follow us to win a free block before Monday ! #HorrorBlock #Horror,,,['gop'],"house,gop",88weighted
1061,,Happy #NationalFriedChickenDay ! Celebrate all week and grab some #HotChicken this Saturday @CapLounge w/ @ChefTeddy,#NationalFriedChickenDay,,['gop'],"house,gop",88weighted
1062,,How did jihadists hack into top UK ministerial emails if no security breach took place ?: Answers on a postcard ...,UK,,['gop'],"house,gop",88weighted
1063,,RT @cheetahchandler : #major cuteness - 2nd grade thanksgiving performance . https://t.co/eYSxtuPoio,thanksgiving,,['gop'],"house,gop",88weighted
1064,,"RT @stratfordcentre : The Perfume Shop 's Crazy Clearance Sale has been extended ! Now ends 8th July , don't miss out !","The Perfume Shop,Crazy Clearance Sale",,['gop'],"house,gop",88weighted
1065,,@Bk2NineTee9 INFINITY Sat 11th April @ The Qube Project . Tickets &amp; info :,"INFINITY,The Qube Project",,['gop'],"house,gop",88weighted
1066,,"#SaroTheMusical2Day5 3pm show is rapping up , don't miss the 7pm flight that 's loading heavily @sarothemusical muson center April 1-6",muson center,,['gop'],"house,gop",88weighted
1067,, Sana may makapagpost ng picture ng Campus Map ng UB para sa aming mga incoming freshman student . HAHAHAHAHA TAENA SOBRANG LAKI BA NG UB ?,,,['gop'],"house,gop",88weighted
1068,,Interxion Security Breach Exposes Customer Contacts . … . #security,Interxion,,['gop'],"house,gop",88weighted
1069,,Inga &amp; Anush Arshakyans - Aprelu April #1915 https://t.co/uInRNemgnk,,,['gop'],"house,gop",88weighted
1070,,PO WATEROROOF SAMPAI 30 APRIL @boboMacan PIN BB 321DB7F4 sms 08882004925,,,['gop'],"house,gop",88weighted
1071,,@YUNG_TDE slaving out here in the hot ass sun,,,['gop'],"house,gop",88weighted
1072,,yung pati yosi break mo may kasamang tweet #AlDubGameofDestiny,,,['gop'],"house,gop",88weighted
1073,,2016 gonna get this work Friday,,,['gop'],"house,gop",88weighted
1074,,RT @dayneen1 : Were trending ' Hope For Bamon ' on March 5th at 5PM EST #Bamon#TVD Please don't forget*wink*,Bamon,,['gop'],"house,gop",88weighted
1075,,Just played : Cuts of youth ( Razor Love ) - The Kissaway Trail - Breach . mp3(unknown ),"Cuts of youth ( Razor Love ),The Kissaway Trail,Breach",,['gop'],"house,gop",88weighted
1076,,Embraer project may spark Titusville turnaround,"Embraer,Titusville",,['gop'],"house,gop",88weighted
1077,,Tout va bien j'ai juste failli oublier de renouveler le nom de domaine de mon portfolio ...,,,['gop'],"house,gop",88weighted
1078,,Thank FUCK for Helen Mirren,Helen Mirren,,['gop'],"house,gop",88weighted
1079,,RT @BradSmithMSU : FREE Cracker Barrel for the 1st 300 MSU students at Hardwood Hysteria . @MSU_Housing RT,"Cracker Barrel,MSU,Hardwood Hysteria",,['gop'],"house,gop",88weighted
1080,,RT @adventurefuI : the last living rescue dog who searched for survivors on 9/11 celebrates her 16th birthday today,,,['gop'],"house,gop",88weighted
1081,,Tomorrow the next Cryptisode of #ESOnline will be up ... Well if the rendering doesn't turn into poop it should be up at that time . ;D,"Cryptisode,#ESOnline",,['gop'],"house,gop",88weighted
1082,,RT @shubhansh1504 : Mere sainyaa superstar . ~ Sun 's wife,,,['gop'],"house,gop",88weighted
1083,,"ih gacaya amat dah "" @amandameropos : Amasa "" @Kaiuuu23 : ini bangun kok beb "" @amandameropos : Bangun gih jan ngiler mulu "" @Kaiuuu23 : iya hamil anak",,,['gop'],"house,gop",88weighted
1084,,"RT @TheKingNappy : If this tweet can reach whopping 1,000 retweets , I'll announce one of our two projects debuting this Friday .",,,['gop'],"house,gop",88weighted
1085,,"Watch the media for the words "" lone wolf "" and "" mental illness "" and not "" suspected white supremacist with neo-nazis ties "". #MesaShooting",,,['gop'],"house,gop",88weighted
1086,,So it looks like the money I'll be earning during co-op in the fall will go straight to imas cg weiss instead of filling the hole from 10th,,,['gop'],"house,gop",88weighted
1087,,RT @ksceviour : Enter to win $500 cash ( via Paypal ) in the June Ultimate Cash Giveaway ! #giveaways,June Ultimate Cash Giveaway,,['gop'],"house,gop",88weighted
1088,,RT @jayceebrownbook : #ImRulingMyselfOut of climbing Huayna Picchu for a 3rd term . Once was enough ( just like having Cameron in No . 10 ),"Huayna Picchu,Cameron,No . 10",,['gop'],"house,gop",88weighted
1089,,"Vintage Banner space helmet &amp; goggles up for #auction Thu , Sep 3rd . Details @ #VintageToys",Vintage Banner space helmet &amp; goggles,,['gop'],"house,gop",88weighted
1090,,#CISO Internet company hit by credit card breach pic.twitter.com/i2DD4AZGXk,http://Web.com,,['gop'],"house,gop",88weighted
1091,,RT @IndayBanat : May mga taong di payag na mawala ka . Pero di naman gumagawa ng paraan para manatili ka .,,,['gop'],"house,gop",88weighted
1092,,Snapchat Responds to New Year 's Eve Security Breach,Snapchat,,['gop'],"house,gop",88weighted
1093,,RT @Tha5SOSFamily : 20th November 1995 #5SecondsofSummer #TheyreTheOne @RadioDisney,#5SecondsofSummer,,['gop'],"house,gop",88weighted
1094,,RT @Jpowmusic : CHATTANOOGA ! Get your tickets &amp; come party with me and @LukeCombsMusic at the #RevelryRoom on Friday !,"CHATTANOOGA,#RevelryRoom",,['gop'],"house,gop",88weighted
1095,,RT @KCENNews : San Bernardino Shooting : What Is the Inland Regional Center ? …,"San Bernardino,Inland Regional Center",,['gop'],"house,gop",88weighted
1096,,AURIER PASSE DE '!!! Easy mon boug #MHSCPSG,,,['gop'],"house,gop",88weighted
1097,,3rd hour # 31 https://t.co/fTT7grjvQb,,,['gop'],"house,gop",88weighted
1098,,RT @caylacay__ : your ex that you were with for 5 years who cheated on you deserves a 2nd or 3rd chance,,,['gop'],"house,gop",88weighted
1099,,"Gonna love b days , don't have to go to school till 7th period",,,['gop'],"house,gop",88weighted
1100,," Multiple victims ' taken to hospital after shooting at FedEx facility in Kennesaw , Georgia , police say . via @cnnbrk","FedEx,Kennesaw,Georgia",,['gop'],"house,gop",88weighted
1101,,"If I choose to not attend school tomorrow,I'd be able to make pancakes and mashed potatoes in the morning !",,,['gop'],"house,gop",88weighted
1102,,"Everyone comes into your life for a reason , for good or bad , they may shape us , break us , but in the end they make us who we are .",,,['gop'],"house,gop",88weighted
1103,,Apple iPod touch 3rd Generation Black ( 64 GB ) Works Great - Full read by eBay,Apple iPod touch 3rd Generation Black ( 64 GB ),,['gop'],"house,gop",88weighted
1104,,"@null Jum'at, 03 April 2015 Jam 11:49 : 45",,,['gop'],"house,gop",88weighted
1105,,Federal lawyers fly to Minneapolis to investigate shooting … via @YahooFinance,Minneapolis,,['gop'],"house,gop",88weighted
1106,,@JeremyClarkson now get of job seekers and back on to sunday tv !! All 3 of you ?,,,['gop'],"house,gop",88weighted
1107,,RT @ItssShowtimeNa : 2nd Spot WorldWide #ThankYouForTheLove,,,['gop'],"house,gop",88weighted
1108,,@grubreport @iglvzx Florida : …,,,['gop'],"house,gop",88weighted
1109,,"MTG 1x Moderately Played , English Regrowth 3rd Edition Magic #MTG #magic #magicthegathering","MTG 1x Moderately Played , English Regrowth 3rd Edition Magic",,['gop'],"house,gop",88weighted
1110,,Could've sworn today was Friday,,,['gop'],"house,gop",88weighted
1111,,"*** 37 Ponderosa Lane , Lake Monticello ! *** New to the market : BEAUTIFUL rancher overlooking the 16th tee with ...",,,['gop'],"house,gop",88weighted
1112,,RT @ToniannCatapano : This is the Mondayest Thursday ever,,,['gop'],"house,gop",88weighted
1113,,The markets are closed today for Good Friday . Stocks finished Thurs . higher as analysts weighed economic and global issues .,Good Friday,,['gop'],"house,gop",88weighted
1114,,RT @UltimatePatama : Yung may kaibigan ka na suportado ka pag nagdadrama ka .,,,['gop'],"house,gop",88weighted
1115,,3 dead after Midvale shooting ; shooter still at large |,Midvale,,['gop'],"house,gop",88weighted
1116,,RT @Cordell_Pierce : Is there a black Friday sale on gas though ....,black Friday,,['gop'],"house,gop",88weighted
1117,,IM MEETING HONK SQUAD TOMORROW,HONK SQUAD,,['gop'],"house,gop",88weighted
1118,,Six dead in Navy Yard shooting - Yahoo News UK … via @YahooNewsUK,"Navy Yard,Yahoo News UK",,['gop'],"house,gop",88weighted
1119,,NANG DAHIL SA NASHLENE nalamang kong may forever,,,['gop'],"house,gop",88weighted
1120,,July news from sen_kamo_jp : https://t.co/hwk603H4L9 #July2015,,,['gop'],"house,gop",88weighted
1121,,Next Friday the album of the year comes out . I'm ready King !!! @fettywap,,,['gop'],"house,gop",88weighted
1122,,"Bare booth for #SFCC . Half done , and back tomorrow for the show . Come see us . #gamedev #indiedev #santafe #mobiledev https://t.co/ncO8GQvv8w",#SFCC,,['gop'],"house,gop",88weighted
1123,,@1ProudCdn Manitoba is on their 7th consecutive deficit and spiralling out of control spending and debt . #reality .,Manitoba,,['gop'],"house,gop",88weighted
