,TweetSentence,annotation,calai_candidates,entry_batch,hashtags,phase1Candidates,ritter_candidates,sentID,stanford_candidates,start_time,tweetID,user
461,@seanhannity and @marklevinshow &amp; others have lied about possible treason by Carter Page &amp; others.,['carter page'],['carter page'],0.0,nan,Carter Page::*11*12*||,['carter page'],0,['carter'],2019-01-27 13:18:16.925561,300,ColoradoHeathen
462,They're traitors for the obfuscation.,[],['carter page'],0.0,nan,,['carter page'],1,['carter'],2019-01-27 13:18:16.925561,300,ColoradoHeathen
463,"@RVAwonk And it was Carter Page, like I thought!!",['carter page'],['carter page'],0.0,nan,Carter Page::*4*5*||,['carter page'],0,['carter'],2019-01-27 13:18:16.926429,301,Utleyjacobite
464,"FBI believed Page ""engaged in clandestine intel activities on behalf of Moscow""","['fbi', 'page', 'moscow']","['fbi', 'moscow']",0.0,trumprussia,Page::*2*||Moscow::*11*||,"['fbi believed page', 'moscow']",0,['fbi'],2019-01-27 13:18:16.927026,302,karelvetrovec
465,This is gettin good,[],"['fbi', 'moscow']",0.0,trumprussia,,"['fbi believed page', 'moscow']",1,['fbi'],2019-01-27 13:18:16.927026,302,karelvetrovec
466,@JSteria @LilMsgss Sessions too.≡ƒæç≡ƒÅ╝,[],[],0.0,nan,Sessions::*2*||,[],0,[],2019-01-27 13:18:16.927946,303,Tam_Resist
467,"""Since the 90-day warrant was first issued, it has been renewed more than once by the FISA court, the officials said",['fisa court'],['fisa court'],0.0,nan,Since the 90-day::*0*1*2*||FISA::*16*||,[],0,[],2019-01-27 13:18:16.928353,304,jwomack
468,@seanhannity The LATEST news is Nunes is a proven liar and Carter Page is a foreign operative.,"['nunes', 'carter page']","['carter page', 'a foreign operative', 'the latest news']",0.0,nan,LATEST::*2*||Nunes::*5*||Carter Page::*11*12*||,"['nunes', 'carter page']",0,"['nunes', 'carter page']",2019-01-27 13:18:16.929213,305,EunuchTrump
469,obtained  warrant to monitor former  adviser,[],['adviser'],0.0,"FBI, FISA, Trump, CarterPage",nan,[],0,[],2019-01-27 13:18:16.930087,306,Spam4Trump
470,Looks like there is something there.,[],[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.930301,307,Tweetypot
471,.Faaaaaaaaaaaaaaaacts,[],[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.930554,308,sunnypeaceful01
472,I'm soooo excited!!,[],[],0.0,"Trumprussia, TheResistance, russiagate",,[],0,[],2019-01-27 13:18:16.930762,309,RJG507089
473,"As stated previously, collusion at the top of the trump presidential run was and still is grounds for impeachment!",['trump'],[],0.0,nan,,['trump'],0,[],2019-01-27 13:18:16.931070,310,RudyTejano
474,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post Must read....,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['the washington post', 'fbi', 'adviser', 'carter page']",0.0,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*13*14*||,"['fbi', 'trump', 'carter page', 'the washington']",0,"['fbi', 'fisa', 'trump']",2019-01-27 13:18:16.931674,311,tahoecalif
475,@oreillyfactor Trump advisor under investigation for colluding with Russia.,"['trump', 'russia']","['russia', '@oreillyfactor trump advisor']",0.0,nan,Trump::*1*||Russia::*8*||,"['trump', 'russia']",0,['trump'],2019-01-27 13:18:16.932777,312,bercbon4
476,A LEGAL FISA warrant.,['fisa'],"['russia', '@oreillyfactor trump advisor']",0.0,nan,LEGAL FISA::*1*2*||,"['trump', 'russia']",1,['trump'],2019-01-27 13:18:16.932777,312,bercbon4
477,Top News: FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['washington post', 'fbi', 'washington post', 'adviser', 'carter page']",0.0,nan,Top News::*0*1*||FBI::*2*||FISA::*4*||Trump::*9*||Carter Page::*11*12*||Washington Post::*14*15*||,"['fbi', 'trump', 'carter page', 'washington post']",0,"['fbi', 'fisa', 'trump', 'carter page - washington post']",2019-01-27 13:18:16.933717,313,FlabinAlert
478,@HeyTammyBruce FBI  / Hillary's Andrew McCabe was secretly working with Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary!,"['fbi', 'hillary', 'andrew mccabe', 'lynch/obama/rice', 'trump', 'donald trump']","['carter page', 'fbi', 'andrew mccabe']",0.0,nan,FBI::*1*||Hillary's Andrew McCabe::*3*4*5*||Lynch::*10*||Obama::*11*||Rice::*12*||Donald Trump::*16*17*||,"['fbi', 'hillary', 'andrew mccabe', 'donald trump', 'carter page']",0,"['fbi', 'andrew mccabe', 'donald trump']",2019-01-27 13:18:16.934891,314,glennyork
479,Carter Page,['carter page'],"['carter page', 'fbi', 'andrew mccabe']",0.0,nan,nan,"['fbi', 'hillary', 'andrew mccabe', 'donald trump', 'carter page']",1,"['fbi', 'andrew mccabe', 'donald trump']",2019-01-27 13:18:16.934891,314,glennyork
480,Imagine if Hillary had so many Russian ties.,"['hillary', 'russian']",['putin'],0.0,nan,Hillary::*2*||Russian::*6*||,"['imagine', 'hillary']",0,"['hillary', 'putin']",2019-01-27 13:18:16.937442,315,colin_havens
481,Imagine if she had so many people in her campaign linked to Putin himself,['putin'],['putin'],0.0,nan,Putin::*12*||,"['imagine', 'hillary']",1,"['hillary', 'putin']",2019-01-27 13:18:16.937442,315,colin_havens
482,Dude.,[],[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.938521,316,katherinemiller
483,This is really fucking incredible.,[],['fisa court'],0.0,nan,,['fisa court'],0,['fisa court'],2019-01-27 13:18:16.938731,317,lakefxdan
484,One does not simply walk into FISA Court with mere suspicions.,['fisa'],['fisa court'],0.0,nan,FISA Court::*6*7*||,['fisa court'],1,['fisa court'],2019-01-27 13:18:16.938731,317,lakefxdan
485,Still is?,[],[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.939461,318,ofpeopl
486,But remember the real issue is the leaks from Obama officials that may or may not have happened,['obama'],[],0.0,nan,Obama::*9*||,['obama'],0,['obama'],2019-01-27 13:18:16.939680,319,Steven_Strauss
487,"World News; ""FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post""","['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['washington post', 'adviser', 'carter page', 'fbi']",0.0,nan,World News::*0*1*||FBI::*2*||FISA::*4*||Trump::*9*||Carter Page::*11*12*||Washington Post::*14*15*||,"['fbi', 'trump', 'carter page', 'washington post']",0,"['fisa', 'trump', 'carter page', 'washington']",2019-01-27 13:18:16.940382,320,Ubertr0_nNub
488,"BREAKING: There's smoke, &amp; now fire.",[],"['fbi', 'carter page', 'dt advisor']",0.0,"resist, trumprussia",,"['dt', 'carter page']",0,"['fbi', 'carter page.']",2019-01-27 13:18:16.941607,321,BanditRandom
489,FBI rec'd FISA warrant to watch DT advisor Carter Page.,"['fbi', 'fisa', 'carter page']","['fbi', 'carter page', 'dt advisor']",0.0,"resist, trumprussia",FISA::*2*||DT::*6*||Carter Page::*8*9*||,"['dt', 'carter page']",1,"['fbi', 'carter page.']",2019-01-27 13:18:16.941607,321,BanditRandom
490,When will he sing?,[],"['adviser', 'carter page', 'fbi']",0.0,nan,,['carter page'],0,"['fbi', 'fisa']",2019-01-27 13:18:16.942647,322,criticalblah
491,Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser |,"['carter page', 'fbi', 'fisa']","['adviser', 'carter page', 'fbi']",0.0,nan,Carter Page::*0*1*||FBI::*2*||FISA::*5*||,['carter page'],1,"['fbi', 'fisa']",2019-01-27 13:18:16.942647,322,criticalblah
492,FBI received warrant to monitor Trump adviser Carter Page: report,"['fbi', 'trump', 'carter page']","['carter page', 'fbi', 'trump adviser']",0.0,nan,Trump::*5*||Carter Page::*7*8*||,"['trump', 'carter page']",0,"['fbi', 'trump', 'carter']",2019-01-27 13:18:16.943549,323,AmericanCFLFan
493,How about some American news?,['american'],"['nunes', 'carter page']",0.0,nan,American::*3*||,"['holocaust centers', 'nunes', 'carter page']",0,['carter'],2019-01-27 13:18:16.944228,324,therepublitard
494,"If you are looking for topics, there's Holocaust Centers, Nunes and Carter Page, @oreillyfactor","['holocaust centers', 'nunes', 'carter page']","['nunes', 'carter page']",0.0,nan,Holocaust Centers::*7*8*||Nunes::*9*||Carter Page::*11*12*||,"['holocaust centers', 'nunes', 'carter page']",1,['carter'],2019-01-27 13:18:16.944228,324,therepublitard
495,@morninggloria may want to focus on this one tho:,[],[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.945375,325,the1duncan
496,"trump is going down, trump is going down, trump is going down","['trump', 'trump', 'trump']",[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.945556,326,KnowYourObama
497,"QUESTION: ""Announcing your foreign policy team shortly Any you can share with us?""",[],"['carter page, phd']",0.0,nan,Announcing::*1*||,"['trump', 'carter page']",0,[],2019-01-27 13:18:16.945732,327,OscarNunezLA
498,"TRUMP: ""Carter Page, PhD","['trump', 'carter page']","['carter page, phd']",0.0,nan,nan,"['trump', 'carter page']",1,[],2019-01-27 13:18:16.945732,327,OscarNunezLA
499,"Oh, I dunno, maybe two toddlers with nukes off the Korean Peninsula and one of them has had a really bad day?",['the korean peninsula'],['the korean peninsula'],0.0,nan,Korean Peninsula::*10*11*||,['korean peninsula'],0,['korean peninsula'],2019-01-27 13:18:16.946578,328,revanner
500,@LouiseMensch FISA warrant was issued on Carter Page ... breaking on MSNBC,"['fisa', 'carter page', 'msnbc']",['msnbc'],0.0,nan,FISA::*1*||Carter Page::*6*7*||MSNBC::*10*||,"['carter page', 'msnbc']",0,['msnbc'],2019-01-27 13:18:16.947473,329,KarenBlumentha1
501,Devin Nunes and Carter Page stories hitting at the same time ... expect an AM potus tweet storm... or we bomb Syria again ≡ƒñö,"['nunes', 'devin nunes', 'carter page']","['carter page', 'syria', 'devin nunes']",0.0,nan,Devin Nunes::*0*1*||Carter Page::*3*4*||Syria::*20*||,"['devin nunes', 'carter page', 'syria']",0,"['devin nunes', 'carter page', 'syria']",2019-01-27 13:18:16.948278,330,JamBrandMrktng
502,"Trump: ""We are not going into Syria"".","['trump', 'syria']","['carter page', 'syria']",0.0,reeee,Syria::*6*||,"['syria', 'sean spicer', 'carter page']",0,"['spicer', 'carter']",2019-01-27 13:18:16.949319,331,atkhelo
503,"Media: ""SEAN SPICER IS AN ANTI SEMITE HOLOCAUST DENIER AND CARTER PAGE IS A RUSSIAN AGENT!!!""","['sean spicer', 'holocaust denier', 'carter page', 'russian', 'russian agent']","['carter page', 'syria']",0.0,reeee,nan,"['syria', 'sean spicer', 'carter page']",1,"['spicer', 'carter']",2019-01-27 13:18:16.949319,331,atkhelo
504,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post NOTHING TO C HERE FOLKS!,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['fbi', 'the washington post', 'carter page', 'adviser']",0.0,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*13*14*||FOLKS::*19*||,"['fbi', 'trump', 'carter page', 'the washington post']",0,"['fbi', 'fisa', 'trump', 'washington post']",2019-01-27 13:18:16.950157,332,SallySellers54
505,"Carter Page, Former Trump Adviser, Monitored Last Summer By FBI Over Russian Contacts","['carter page', 'trump', 'fbi', 'russian']","['carter page', 'fbi', 'adviser']",0.0,"tcot, news, variety",nan,"['carter page', 'fbi']",0,"['carter', 'fbi']",2019-01-27 13:18:16.951486,333,littlebytesnews
506,FISA court granted FBI authority to monitor Trump adviser Carter Page during campaign:,"['fisa', 'fbi', 'trump', 'carter page']","['fbi', 'carter page', 'adviser', 'fisa court']",0.0,TrumpRussiaCollusion,FBI::*3*||Trump::*7*||Carter Page::*9*10*||,"['trump', 'carter page']",0,"['fbi', 'trump']",2019-01-27 13:18:16.951976,334,4citkane
507,@KeithOlbermann So Does This Mean The FBI Was Listening to Every Conversation PAGE Had....TRUMP Loved Carter Page.,"['fbi', 'page']","['fbi', 'carter page']",0.0,nan,Mean The FBI::*4*5*6*||Listening::*8*||Conversation PAGE::*11*12*||TRUMP Loved Carter Page::*14*15*16*17*||,"['conversation page', 'trump', 'carter page']",0,['fbi'],2019-01-27 13:18:16.952896,335,Bulldawg2482
508,..Interesting?,"['trump', 'carter page']","['fbi', 'carter page']",0.0,nan,nan,"['conversation page', 'trump', 'carter page']",1,['fbi'],2019-01-27 13:18:16.952896,335,Bulldawg2482
509,????,[],"['fbi', 'carter page']",0.0,nan,,"['conversation page', 'trump', 'carter page']",2,['fbi'],2019-01-27 13:18:16.952896,335,Bulldawg2482
510,FBI obtained FISA warrant to monitor former Trump adviser Carter Page,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'carter page', 'adviser']",0.0,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,"['fbi', 'trump', 'carter page']",0,"['fbi', 'fisa', 'trump', 'carter page']",2019-01-27 13:18:16.954578,336,rxflg
511,FBI had FISA warrant to snoop on ex-Trump adviser Carter Page: report,"['fbi', 'fisa', 'carter page']","['fbi', 'carter page', 'adviser']",0.0,finance,FISA::*2*||Carter Page::*9*10*||,"['fbi', 'snoop', 'carter page']",0,"['fbi', 'carter']",2019-01-27 13:18:16.955463,337,financeprnews
512,AND Republican FBI Director Comey REFUSED to tell voters during the election,"['fbi', 'republican fbi director comey', 'comey']","['fbi', 'director comey']",0.0,"carterpage, traitortrump, Trumprussia",Republican FBI Director Comey REFUSED::*1*2*3*4*5*||,[],0,"['fbi', 'comey']",2019-01-27 13:18:16.956262,338,pqpolitics
513,A FISA warrant investigated Carter Page.,"['fisa', 'carter page']",['carter page'],0.0,nan,FISA::*1*||Carter Page::*4*5*||,['carter page'],0,['carter page.'],2019-01-27 13:18:16.957181,339,kaykas
514,Unprecedented.,[],"['an advisor', 'president of the united states was', 'united states']",0.0,nan,nan,['united states'],0,['united states'],2019-01-27 13:18:16.957772,340,darlin
515,A federal court found probable cause an advisor to the next president of the United States was acting,['united states'],"['an advisor', 'president of the united states was', 'united states']",0.0,nan,United States::*14*15*||,['united states'],1,['united states'],2019-01-27 13:18:16.957772,340,darlin
516,"And with""Carter Page"" lets take back the peoples house @realdonaldtrump @mike_pence @jaredkushner made it Russias house","['carter page', 'russias']",[],0.0,"Resist, Trumprussia",Page::*2*||Russias::*14*||,"['carter page', 'russias house']",0,[],2019-01-27 13:18:16.958626,341,Itsafairday
517,Carter Page comparing himself to MLK.,"['carter page', 'mlk']","['carter page', 'hitler']",0.0,nan,Carter Page::*0*1*||MLK::*5*||,"['carter page', ""spicer 's hitler""]",0,"['carter page', 'hitler']",2019-01-27 13:18:16.959361,342,bstrawbridge
518,"Spicer's Hitler ""analogy.""","['spicer', 'hitler']","['carter page', 'hitler']",0.0,nan,Spicer's Hitler::*0*1*||,"['carter page', ""spicer 's hitler""]",1,"['carter page', 'hitler']",2019-01-27 13:18:16.959361,342,bstrawbridge
519,What is going on?,[],"['carter page', 'hitler']",0.0,nan,,"['carter page', ""spicer 's hitler""]",2,"['carter page', 'hitler']",2019-01-27 13:18:16.959361,342,bstrawbridge
520,AND....in other news:  FBI did obtain a legal FISA warrant.,"['fbi', 'fisa']",['fbi'],0.0,trumprussia,FBI::*4*||FISA::*9*||,['carter page'],0,['fbi'],2019-01-27 13:18:16.960547,343,LisaMorrellRRT
521,On Carter Page.,['carter page'],['fbi'],0.0,trumprussia,nan,['carter page'],1,['fbi'],2019-01-27 13:18:16.960547,343,LisaMorrellRRT
522,This is a big fucking deal,[],['fbi'],0.0,trumprussia,,['carter page'],2,['fbi'],2019-01-27 13:18:16.960547,343,LisaMorrellRRT
523,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['fbi', 'carter page', 'washington post', 'adviser', 'washington post']",0.0,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*12*13*||,"['fbi', 'trump', 'carter page', 'washington post']",0,"['fbi', 'fisa', 'trump', 'carter page - washington post']",2019-01-27 13:18:16.961548,344,lzodevelopment
524,obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post,"['fisa', 'trump', 'carter page', 'washington post']","['carter page', 'washington post', 'washington post', 'adviser']",0.0,"F4F, RT, news, FBI",FISA::*1*||Trump::*6*||Carter Page::*8*9*||Washington Post::*11*12*||,"['trump', 'carter page', 'washington post']",0,"['fisa', 'trump', 'carter page - washington post']",2019-01-27 13:18:16.962592,345,WorldNews707
525,Report: FISA court approved FBI's request to spy on Carter Page,"['fisa', 'fisa court', 'fbi', 'carter page']","['fbi', 'fisa court']",0.0,nan,FISA::*1*||FBI's::*4*||Carter Page::*9*10*||,"['fbi', 'carter page']",0,[],2019-01-27 13:18:16.963482,346,hrothenb
526,this is the dumbest show on television,[],[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.964326,347,mikescalise
527,@KeithOlbermann Jeff Sessions recommended Carter Page for Trump campaign/admin.,"['jeff sessions', 'carter page', 'trump']",['carter page'],0.0,nan,Jeff Sessions::*1*2*||Carter Page::*4*5*||Trump::*7*||,"['jeff sessions', 'carter page', 'trump']",0,"['jeff sessions', 'carter page', 'trump']",2019-01-27 13:18:16.964511,348,SandraPitts14
528,Isn't he a fucking buffoon though?,[],[],0.0,nan,,[],0,[],2019-01-27 13:18:16.965219,349,AFPiedmont
529,Carter Page news: Trump supporters now believe they have their proof.,"['carter page', 'trump']",['carter page'],0.0,Trumprussia,Carter Page::*0*1*||Trump::*3*||,"['carter page', 'trump']",0,['carter page news: trump'],2019-01-27 13:18:16.965571,350,Bernie4People
530,now believe they have their proof.,[],['carter page'],0.0,Trumprussia,,"['carter page', 'trump']",1,['carter page news: trump'],2019-01-27 13:18:16.965571,350,Bernie4People
531,The 90-day warrant has been renewed more than once since it was issued  via @washingtonpost,[],[],0.0,nan,90-day::*1*||,[],0,[],2019-01-27 13:18:16.966528,351,terri_to
532,@MrZeroF0 @LouiseMensch @counterchekist @level39 @conspirator0 @TeaPainUSA @MrFelt_ @FBI You refer to this i assume?,[],['fbi'],0.0,nan,,[],0,[],2019-01-27 13:18:16.967273,352,anathymadevice
533,July visit to Moscow approved by Trump camp:,"['moscow', 'trump']","['trump camp', 'moscow']",0.0,nan,Moscow::*3*||Trump::*6*||,"['moscow', 'trump camp']",0,"['moscow', 'trump']",2019-01-27 13:18:16.967754,353,ekcj1234
534,BUT HER EMAILS!,[],"['fbi', 'carter page', 'adviser']",0.0,DoubleStandards,nan,"['fbi', 'trump', 'carter page']",0,"['fbi', 'fisa', 'trump', 'carter page']",2019-01-27 13:18:16.968389,354,upanatm
535,FBI obtained FISA warrant to monitor former Trump adviser Carter Page,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'carter page', 'adviser']",0.0,DoubleStandards,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,"['fbi', 'trump', 'carter page']",1,"['fbi', 'fisa', 'trump', 'carter page']",2019-01-27 13:18:16.968389,354,upanatm
536,"""Russia wants to avoid escalating the conflict at any cost, but is prepared 4 the worst""",['russia'],"['russia', 'sean spicer carter page']",0.0,nan,,"['russia', 'sean spicer carter page']",0,['spicer carter page)'],2019-01-27 13:18:16.969252,355,ClubBayern
537,(Sean Spicer Carter Page),"['sean spicer', 'carter page']","['russia', 'sean spicer carter page']",0.0,nan,nan,"['russia', 'sean spicer carter page']",1,['spicer carter page)'],2019-01-27 13:18:16.969252,355,ClubBayern
538,Carter Page is a spy  (Like we didn't already know)  he had that spy smile...,['carter page'],"['carter page', 'a spy', 'spy']",0.0,"IToldYa, LoveYouObama",Carter Page::*0*1*||,['carter page'],0,['carter page'],2019-01-27 13:18:16.969976,356,Elvisnmore
539,"Report: FISA court approved FBI's @Twitter, Look ≡ƒæÇ at Comey, Obama.","['fisa', 'comey', 'obama']","['fbi', 'fbi', 'clinton', 'twitter', 'fisa court']",0.0,nan,FISA::*1*||FBI's::*4*||Look::*6*||Comey::*9*||Obama::*10*||,"['fbi', 'comey', 'obama', 'clinton', 'nsa', 'fbi']",0,[],2019-01-27 13:18:16.970644,357,MorvantCheryl
540,"Clinton, Even Military, NSA, FBI, Your answer!","['clinton', 'military', 'nsa', 'fbi']","['fbi', 'fbi', 'clinton', 'twitter', 'fisa court']",0.0,nan,Military::*2*||NSA::*3*||FBI::*4*||,"['fbi', 'comey', 'obama', 'clinton', 'nsa', 'fbi']",1,[],2019-01-27 13:18:16.970644,357,MorvantCheryl
541,Carter Page gets a cellmate!,['carter page'],['carter page'],0.0,nan,Carter Page::*0*1*||,['carter page'],0,['carter page'],2019-01-27 13:18:16.972326,358,RodneyAnon
542,@funder Carter Page is such an unhinged person.,['carter page'],"['carter page', 'russia']",0.0,nan,Carter Page::*1*2*||,"['carter page', 'russia']",0,['russia'],2019-01-27 13:18:16.972777,359,jacobsfam
543,Can believe I'm saying this but is this the best Russia could find?,['russia'],"['carter page', 'russia']",0.0,nan,Russia::*10*||,"['carter page', 'russia']",1,['russia'],2019-01-27 13:18:16.972777,359,jacobsfam
544,FBI reportedly probed ex-Trump aide Carter Page during campaign,"['fbi', 'carter page']","['carter page', 'aide', 'fbi']",0.0,nan,Carter Page::*5*6*||,['carter page'],0,['fbi'],2019-01-27 13:18:16.973736,360,zyiteblog
545,Oh my.,[],['carter page'],0.0,Trumprussia,nan,"['carter page', 'russian']",0,['carter'],2019-01-27 13:18:16.974294,361,MarkCM07
546,"Look it's Carter Page, once again.",['carter page'],['carter page'],0.0,Trumprussia,nan,"['carter page', 'russian']",1,['carter'],2019-01-27 13:18:16.974294,361,MarkCM07
547,FISA warrant because they believe he was/is a Russian agent.,"['fisa', 'russian']",['carter page'],0.0,Trumprussia,Russian::*9*||,"['carter page', 'russian']",2,['carter'],2019-01-27 13:18:16.974294,361,MarkCM07
548,Rachel  should do a special w/ all the planned segments that had to be tossed due to late-breaking Trump admin bombshells.,"['rachel', 'trump']",[],0.0,Maddow,Trump::*18*||,"['rachel', 'trump']",0,"['rachel', 'trump']",2019-01-27 13:18:16.975039,362,lcgarbage
549,THIS ≡ƒæç≡ƒÅ╜IS BIG!!,[],[],0.0,nan,BIG::*2*||,[],0,['comey'],2019-01-27 13:18:16.975795,363,DorH84607784
550,Is anyone SURPRISED?,[],[],0.0,nan,nan,[],1,['comey'],2019-01-27 13:18:16.975795,363,DorH84607784
551,IT IS PAST TIME FOR COMEY TO STEP DOWN...THEN THROW THE CUFFS ON HIM!,['comey'],[],0.0,nan,nan,[],2,['comey'],2019-01-27 13:18:16.975795,363,DorH84607784
552,The most infuriating part is the FBI had all this info on Trump/Russian &amp; yet Comney's presser was about Hillary's old emails.,"['fbi', 'trump', 'russian', 'comney', 'hillary']",['fbi'],0.0,nan,FBI::*6*||Trump::*12*||Russian::*13*||Comney's::*16*||Hillary's::*20*||,"['fbi', 'trump/russian', 'comney', 'hillary', 'carter page']",0,['fbi'],2019-01-27 13:18:16.976597,364,MJGWrites
553,"""Carter Page""",['carter page'],['fbi'],0.0,nan,nan,"['fbi', 'trump/russian', 'comney', 'hillary', 'carter page']",1,['fbi'],2019-01-27 13:18:16.976597,364,MJGWrites
554,@CNN Maybe Spicer's Hitler comment was used to distract from FBI FISA &amp; Carter Page..Get everyone talking about it to bury FISA lede.....,"['spicer', 'hitler', 'fbi', 'fisa', 'carter page']","['fbi', 'carter page', 'hitler']",0.0,nan,Spicer's Hitler::*2*3*||FBI FISA::*10*11*||Carter Page Get::*13*14*15*||FISA::*22*||,"['spicer', 'hitler', 'fbi fisa', 'carter page']",0,"['hitler', 'fbi', 'carter']",2019-01-27 13:18:16.978014,365,heartofstylez
555,Just like that,[],[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.979241,366,Joenewsguy
556,@63ClarkS @jaketapper Oh!!,[],['carter page'],0.0,nan,,['carter page'],0,['carter page!!'],2019-01-27 13:18:16.979481,367,SalcidoKristin
557,Let's talk about Carter Page!,['carter page'],['carter page'],0.0,nan,Carter Page::*3*4*||,['carter page'],1,['carter page!!'],2019-01-27 13:18:16.979481,367,SalcidoKristin
558,#NAME?,"['fbi', 'fisa', 'carter page']",[],0.0,nan,nan,"['fbi', 'snoop', 'carter page']",0,"['fbi', 'carter']",2019-01-27 13:18:16.980119,368,AnywhereNews
559,"Hey, the U.S. has secret courts.",[],['u.s.'],0.0,nan,U.S.::*2*||,[],0,['u.s.'],2019-01-27 13:18:16.980307,369,ethomasw
560,"In case you need an example of ""normalization.""",['u.s'],['u.s.'],0.0,nan,,[],1,['u.s.'],2019-01-27 13:18:16.980307,369,ethomasw
561,Carter Page ...≡ƒÄ╝≡ƒÄñ and they all fall down!,['carter page'],['carter page'],0.0,"resist, TrumpRussia",Carter Page::*0*1*||,['carter page'],0,[],2019-01-27 13:18:16.981130,370,shannychick
562,"""Carter Page"" living a America under this administration is like bad Tom Clancy novel.","['carter page', 'america', 'tom clancy']","['america', 'tom clancy']",0.0,nan,Carter Page::*0*1*||America::*4*||Tom Clancy::*11*12*||,"['carter page', 'america', 'tom clancy']",0,"['america', 'tom clancy']",2019-01-27 13:18:16.981663,371,SOLOAMERICAN76
563,FBI had FISA warrant to snoop on ex-Trump adviser Carter Page: report: The FBI obtained a secretΓÇª  MARKETWATCH,"['fbi', 'fisa', 'carter page', 'fbi']","['carter page', 'fbi', 'fbi', 'adviser']",0.0,nan,FISA::*2*||Carter Page::*9*10*||FBI::*13*||MARKETWATCH::*17*||,"['fbi', 'snoop', 'carter page', 'fbi']",0,"['fbi', 'carter', 'fbi']",2019-01-27 13:18:16.982567,372,FinanzLinksCom
564,Last summer.,[],[],0.0,nan,,['hrc'],0,['hrc'],2019-01-27 13:18:16.983659,373,iamhereinmich
565,Before the election.,[],[],0.0,nan,,['hrc'],1,['hrc'],2019-01-27 13:18:16.983659,373,iamhereinmich
566,Before the whole October email announcement by Comey.,['comey'],[],0.0,nan,October::*3*||Comey::*7*||,['hrc'],2,['hrc'],2019-01-27 13:18:16.983659,373,iamhereinmich
567,This really is WRONG!,[],[],0.0,nan,WRONG::*3*||,['hrc'],3,['hrc'],2019-01-27 13:18:16.983659,373,iamhereinmich
568,HRC should be in the WH!,"['hrc', 'wh']",[],0.0,nan,nan,['hrc'],4,['hrc'],2019-01-27 13:18:16.983659,373,iamhereinmich
569,carter page all like hold my beverage,['carter page'],"['carter page', 'beverage']",0.0,nan,nan,['carter page'],0,[],2019-01-27 13:18:16.984974,374,LydiaBurrell
570,Page is a link in a very complex chain.,['page'],[],0.0,nan,,['page'],0,[],2019-01-27 13:18:16.985166,375,truth_trumpet
571,Still a link.,[],[],0.0,nan,,['page'],1,[],2019-01-27 13:18:16.985166,375,truth_trumpet
572,"Not ""the"" link.",[],[],0.0,nan,,['page'],2,[],2019-01-27 13:18:16.985166,375,truth_trumpet
573,"@maddow Wonder if the Russian spies ever got borrowed millions to hook  as discussed in Complaint, and if so, how was it used?",['russian'],[],0.0,CarterPage,Wonder::*1*||Russian::*4*||Complaint::*15*||,[],0,[],2019-01-27 13:18:16.985909,376,raquelgordon
574,SYRIA STUNT.,['syria'],"['russia', 'syria']",0.0,nan,nan,"['syria', 'russia']",0,"['syria', 'russia']",2019-01-27 13:18:16.986904,377,bonecho5
575,B.S.,[],"['russia', 'syria']",0.0,nan,nan,"['syria', 'russia']",1,"['syria', 'russia']",2019-01-27 13:18:16.986904,377,bonecho5
576,to distract from Russia  crimes.,['russia'],"['russia', 'syria']",0.0,nan,Russia::*3*||,"['syria', 'russia']",2,"['syria', 'russia']",2019-01-27 13:18:16.986904,377,bonecho5
577,TRUMP STILL BEING CRIMINALLY INVESTIGATED.,['trump'],"['russia', 'syria']",0.0,nan,nan,"['syria', 'russia']",3,"['syria', 'russia']",2019-01-27 13:18:16.986904,377,bonecho5
